Acid Drop,Dennis Kiss[11],Salu Ltd,1992,Strategy,PAL-only; puzzle game; last game released. Atari 2600s stopped being manufactured
Actionauts,Rob Fulop,,2008,Simulation,Originally planned for release in 1984
The Activision Decathlon,Activision (David Crane),Activision,1983,Sports,
Adventures of Tron,APh Technological Consulting,M Network,1982,Action,
Airlock,Data Age,Data Age,1982,Action,
Air Raid,MenAVision,MenAVision,1982,Action,Only 13 copies known to exist[citation needed]
Air Raiders,APh Technological Consulting,M Network,1982,Action,
Alien,20th Century Fox,20th Century Fox,1982,Action,
Alien's Return,Gem International Corporation,Home Vision,1983,Action,Primarily a PAL release. Released in NTSC format as E.T Go Home
Amidar,Parker Brothers,Parker Brothers,1982,Action,licensed by Konami
Armor Ambush,APh Technological Consulting,M Network,1982,"Action, Racing / Driving",conversion of Intellivision Armor Battle
Artillery Duel/Chuck Norris Superkicks,Xonox,Xonox,1983,Strategy,double-ended cartridge
Artillery Duel/Ghost Manor,Xonox,Xonox,1983,Strategy,double-ended cartridge
Artillery Duel/Spike's Peak,Xonox,Xonox,1983,Strategy,double-ended cartridge
Artillery Duel,Action Graphics,Xonox,1983,Strategy,
Assault,Bomb,Bomb,1983,Action,
Astroblast,APh Technological Consulting,M Network,1982,Action,conversion of Intellivision Astrosmash
Atlantis,Imagic,Imagic,1982,Action,
Atlantis II,Imagic,Imagic,1982,Action,
Bachelor Party,Mystique,PlayAround,1982,Action,
Bachelorette Party,Mystique,PlayAround,1982,Action,Released as a 2-in-1 cart with Burning Desire
Bank Heist,20th Century Fox,20th Century Fox,1983,"Action, Racing / Driving",
Barnstorming,Activision,Activision,1982,Action,
Base Attack,Home Vision,Home Vision,1983?,shooter,Original version of Z-Tack
Beamrider,Cheshire Engineering,Activision,1983,Action,
Beany Bopper,Sirius Software,20th Century Fox,1982,Action,
Beat Em and Eat Em,Mystique,PlayAround,1983,Action,
Berenstain Bears,Coleco,Coleco,1983,Educational,Kid Vid Voice Module required to function
Bermuda,Suntek?,Suntek/Quelle/Rainbow Vision/Hertie,1983,Shooter,Hack of River Raid
Bermuda Triangle,Data Age,Data Age,1982,Action,
Birthday Mania,"Tokar, Robert Anthony",Personal Games Company,1984,Action,
Blue Print,CBS Electronics,CBS Electronics,1983,Action,licensed by Bally Midway
BMX Airmaster,Sculptured Software,TNT Games,1989,"Action, Sports",
Bobby Is Going Home,Bit Corporation,CCE,1983,,
Boing!,First Star Software,First Star Software,1983,Action,
Boxing,Activision (Bob Whitehead),Activision,1980,Sports,
Bridge,Activision (Larry Kaplan),Activision,1980,Strategy,
Buck Rogers: Planet of Zoom,Sega,Sega,1983,Action,
Bugs,Data Age,Data Age,1982,Action,
Bumper Bash,Spectravision,Spectravision,1983,Action,
Bump 'n' Jump,Mattel Electronics,M Network,1983,"Action, Racing / Driving",licensed by Data East USA
BurgerTime,Mattel Electronics,M Network,1982,Action,licensed by Data East USA
Burning Desire,,PlayAround,1983,,Released as a 2-in-1 cart with Bachelorette Party
Busy Police,,Zellers,1983,,unlicensed reproduction of Keystone Kapers[12]
Cakewalk,CommaVid,CommaVid,1983,Action,
California Games,Epyx,Epyx,1987,Sports,
Carnival,Woodside Design Associates,Coleco,1982,Action,
Cathouse Blues,,PlayAround,1982,,
Challenge,,Funvision,,,Released in NTSC format by Zellers
Challenge of Nexar,Sirius Software,Spectravision,1982,Action,
Chase the Chuck Wagon,TMQ Software,Spectravision,1983,Action,
Checkers,Activision (Alan Miller),Activision,1980,Strategy,
China Syndrome,Spectravision,Spectravision,1983,Action,
Chopper Command,Activision (Bob Whitehead),Activision,1982,Action,
Chuck Norris Superkicks/Ghost Manor,Xonox,Xonox,1983,Action,double-ended cartridge
Chuck Norris Superkicks/Spike's Peak,Xonox,Xonox,1983,Action,double-ended cartridge
Chuck Norris Superkicks,Xonox,Xonox,1983,Action,
Circus Convoy,Audacity Games,Audacity Games,2021,Action Adventure,"First game from publisher founded by David Crane, Garry Kitchen and Dan Kitchen.[13]"
Coconuts,Telesys,Telesys,1982,Action,
Commando,Imagineering,Activision,1988,Action,licensed by Data East USA
Commando Raid,James Wickstead Design Associates,US Games,1982,Action,
Communist Mutants from Space (cassette),Starpath,Starpath,1982,Action,
Condor Attack,,Ultravision,1983,,
Confrontation,Answer Software,Answer Software,1983,Strategy,Only originally available directly from Answer Software for a short time.
Congo Bongo,Sega,Sega,1983,Action,
Cosmic Ark,Imagic (Rob Fulop),Imagic,1982,Action,
Cosmic Commuter,Activision,Activision,1984,Action,
Cosmic Corridor,,Zimag,1983,,NTSC release of Bit Corporation's Space Tunnel
Cosmic Creeps,Telesys,Telesys,1982,Action,
Cosmic Free Fire,,Action Hi-Tech,,,PAL-format[14]
Cosmic Swarm,CommaVid,CommaVid,1982,Action,
Crab Control,,Action Hi-Tech,,,PAL-format[14]
Crackpots,Activision,Activision,1983,Action,
Crash Dive,20th Century Fox,20th Century Fox,1983,Action,
Creature Strike,,Home Entertainment Suppliers,1992,Shooter,"Released as part of a ""2 PAK SPECIAL""[15]"
Cross Force,Spectravision,Spectravision,1983,Action,
Cruise Missile,,Froggo,1987,,Same game as Exocet released by Panda
Crypts of Chaos,20th Century Fox,20th Century Fox,1982,"Adventure, Role-Playing (RPG)",
Cubicolor,Rob Fulop,,1982,Strategy,
Custer's Revenge,Mystique,Mystique,1982,"Adult, Western",
Dancing Plate,,Bit Corporation,1982,,PAL release
Dark Cavern,APh Technological Consulting,M Network,1982,,conversion of Intellivision Night Stalker
Deadly Discs,APh Technological Consulting,Telegames,1983,Action,reissue of M Network's  Tron: Deadly Discs
Deadly Duck,Sirius Software,20th Century Fox,1982,Action,
Death Trap,Avalon Hill,Avalon Hill,1983,"Action, Strategy",
Demolition Herby,Telesys,Telesys,1983,Action,
Demon Attack,Imagic (Rob Fulop),Imagic,1982,Fixed shooter,
