007: Quantum of Solace,Vicarious Visions,Activision,"October 31, 2008 (EU)",,,,
1 vs. 100 (Europe/Australia)1 Contre 100FR1 Gegen 100DE,Gimagin,Mindscape,"April 30, 2008 (EU/AUS)",,,,
1 vs. 100 (US),ECi,Destination Software,"July 3, 2008 (NA)",,,,
10 Voor Taal,Endemol,Foreign Media,"June 30, 2009 (EU)",,,,
100 All-Time Favorites,Ubisoft,Ubisoft,"October 27, 2009 (EU)",,,,
100 Classic Games,Easy Interactive,rondomedia,"April 8, 2011 (EU)",,,,
100 Kiri Golf DS,GungHo,GungHo,"October 23, 2008 (JP)",,,,
1000 Bornes,Mad Monkey Studio,Mindscape,"October 16, 2008 (EU)",,,,
1001 Crosswords,Mastertronic,Mastertronic,"November 2, 2012 (EU)",,,,
1001 Touch Games,Avanquest Software,Maximum Family Games,"August 26, 2011 (EU)",,,,
101-in-1 Explosive Megamix,Nordcurrent,NA: AtlusEU: Nordcurrent,"November 28, 2008 (EU)",,,,
101-in-1 Sports Megamix,Nordcurrent,Atlus,"September 14, 2010 (NA)",,,,
11 Card Games,Foreign Media,rondomedia,"April 23, 2010 (EU)",,,,
12 Family Games,Phoenix Games,Phoenix Games,"December 1, 2008 (EU)",,,,
13-Sai no Hello Work DS,Digital Works Entertainment,Digital Works Entertainment,"May 29, 2008 (EU)",,,,
1500DS Spirits: Mahjong V,Tasuke,Tasuke,"December 3, 2009 (JP)",,,,
1500DS Spirits: Shogi V,Tasuke,Tasuke,"December 3, 2009 (JP)",,,,
1500DS Spirits Vol. 1: Mahjong,Tasuke,Tasuke,"August 9, 2007 (JP)",,,,
1500DS Spirits Vol. 2: Shogi,Tasuke,Tasuke,"August 9, 2007 (JP)",,,,
1500DS Spirits Vol. 3: Block Kuzushi,Tasuke,Tasuke,"August 9, 2007 (JP)",,,,
1500DS Spirits Vol. 4: Reversi,Tasuke,Tasuke,"August 9, 2007 (JP)",,,,
1500DS Spirits Vol. 5: Hanafuda,Tasuke,Tasuke,"August 9, 2007 (JP)",,,,
1500DS Spirits Vol. 6: Trump,Tasuke,Tasuke,"November 22, 2007 (JP)",,,,
1500DS Spirits Vol. 7: Chess,Tasuke,Tasuke,"November 22, 2007 (JP)",,,,
1500DS Spirits Vol. 8: Darts,Tasuke,Tasuke,"November 22, 2007 (JP)",,,,
1500DS Spirits Vol. 9: Futari-uchi Mahjong,Tasuke,Tasuke,"November 22, 2007 (JP)",,,,
1500DS Spirits Vol. 10: Igo,Tasuke,Tasuke,"May 15, 2008 (JP)",,,,
18 Classic Card Games18 Card GamesEU,Destineer,Destineer,"November 16, 2010 (NA)",,,,
4 ElementsGem Quest: 4 ElementsEU,Joindots,Storm City Games,"January 21, 2011 (EU)",,,,
4 Elements II,Licensed 4U,Licensed 4U,"May 18, 2012 (EU)",,,,
4 Kyouka Perfect Clear DS: Eigo Onsei Tsuki,Benesse,Benesse,2012 (JP),,,,
5-Kyuu kara 1-Kyuu Kanzen Taiou: Saishin Kako Mondai - 2-Ji Shiken Taisaku - Eiken Kanzenban,IE Institute,IE Institute,"May 9, 2011 (JP)",,,,
5-Nen Kanji Keisan Nigate Hunter DS,Good-Feel,Benesse,"April 30, 2012 (JP)",,,,
50 Classic Games,Cerasus Media,Destineer,"March 8, 2010 (NA)",,,,
50 More Classic Games,Destineer,Destineer,"May 12, 2011 (NA)",,,,
7 Wonders II,MumboJumbo,Avanquest Software,"October 30, 2009 (EU)",,,,
7 Wonders of the Ancient World,Hot Lava Games,MumboJumbo,"September 17, 2007 (NA)",,,,
7 Wonders: Treasures of Seven,Avanquest Software,Avanquest Software,"August 12, 2011 (NA)",,,,
700-Banjin no Atama o Yokusuru: Chou Keisan DS - 13000-Mon + Image Keisan,IE Institute,IE Institute,"March 12, 2009 (JP)",,,,
7th Dragon,imageepoch,Sega,"March 5, 2009 (JP)",,,,
8Ball Allstars,Code Monkeys,Oxygen Games,"August 7, 2009 (EU)",,,,
99 no Namida,Open Sesame,Bandai Namco Games,"June 5, 2008 (EU)",,,,
A Witch's Tale,Hit Maker,Nippon Ichi Software,"May 28, 2009 (JP)",,,,
A-Ressha de Ikou DS,Artdink,Artdink,"April 3, 2009 (JP)",,,,
Ace Attorney Investigations: Miles Edgeworth,Capcom,Capcom,"May 28, 2009 (JP)",,,,
Actua Pool,FrontLine Studios,Zoo Digital Publishing,"January 1, 2007 (AU)",,,,
Adi: L'Entraineur - 6e-5e,Mindscape,Mindscape,2008 (EU),,,,
Adi: L'Entraineur - CE1-CE2,Mindscape,Mindscape,2008 (EU),,,,
Adi: L'Entraineur - CM1-CM2,Mindscape,Mindscape,2008 (EU),,,,
"Adi L'entraineur, Objectif Anglais DS",Mindscape,Mindscape,2008 (EU),,,,
Adibou Aventure : J'explore le corps humain,Mindscape,Mindscape,2008 (EU),,,,
Adibou: Je Joue a Lire et a Compter 6-7 Ans,Mindscape,Mindscape,2008 (EU),,,,
Adibou: Je Joue avec les Lettres et les Nombres,Mindscape,Mindscape,2008 (EU),,,,
Advance Wars: Days of Ruin,Intelligent Systems,Nintendo,"January 21, 2008 (NA)",,,,
Advance Wars: Dual Strike,Intelligent Systems,Nintendo,"August 22, 2005 (NA)",,,,
Adventure Time: Hey Ice King! Why'd You Steal Our Garbage?!!,WayForward Technologies,D3 Publisher,"November 20, 2012 (NA)",,,,
Adventures of Pinocchio,Phoenix Games,Phoenix Games,"May 8, 2008 (EU)",,,,
Affari tuoi,Mindscape,Mindscape,2008 (EU),,,,
AFL Mascot Manor,Wicked Witch Software,Tru Blu Games,"July 2, 2009 (AUS)",,,,
Again,Cing,Tecmo,"December 10, 2009 (JP)",,,,
Agatha Christie: The ABC Murders,DreamCatcher Games,DreamCatcher Games,"November 12, 2009 (NA)",,,,
Age of Empires: Mythologies,Griptonite Games,THQ,"November 24, 2008 (NA)",,,,
Age of Empires: The Age of Kings,Backbone Entertainment,Majesco Entertainment,"February 14, 2006 (NA)",,,,
Aibou DS,Tecmo,Tecmo,"March 5, 2009 (JP)",,,,
Air Traffic Chaos,Majesco Entertainment,Majesco Entertainment,"July 30, 2008 (NA)",,,,
Akagawa Jirou Mystery: Tsuki no Hikari,Marvelous Entertainment,Marvelous Entertainment,"November 6, 2008 (JP)",,,,
Akagawa Jirou Mystery: Yasoukyoku - Hon ni Manekareta Satsujin,Marvelous Entertainment,Marvelous Entertainment,"February 8, 2008 (JP)",,,,
Akai Ito Destiny DS,Alchemist,Alchemist,"March 26, 2009 (JP)",,,,
