Quest Braintainment,ThePharmacy,ThePharmacy,"September 10, 2010 (EU)",,,,
Questions pour un Champion: Le Jeu Officiel - Edition Speciale 20 Ans,Mindscape,Mindscape,"June 13, 2008 (EU)",,,,
QuickSpot,Namco Bandai Games America,"Namco, Namco Bandai Games America","February 9, 2006 (JP)",,,,
Quiz & Touch Kensaku: Mushi Zokan DS,Spike,Spike,"July 12, 2007 (JP)",,,,
The Quiz 30000-Mon,Luxe,D3Publisher,"December 20, 2007 (JP)",,,,
Quiz Kirameki Star Road,Warashi,Taito,"August 10, 2006 (JP)",,,,
Quiz Magic Academy DS,Konami,Konami,"September 12, 2008 (JP)",,,,
Quiz Magic Academy DS: Futatsu no Jikūseki,Konami,Konami,"February 11, 2010 (JP)",,,,
Quiz no Tabi,Success,Success,"May 29, 2008 (JP)",,,,
Quiz Present Variety Q-Sama!! DS: Pressure Study x Atama ga Yoku naru Drill SP,Plenty,Kamui,"October 27, 2011 (JP)",,,,
Quiz Taxi,SevenOne Intermedia,SevenOne Intermedia,"January 29, 2009 (EU)",,,,
Quiz! Hexagon II,Infinity,Bandai Namco Games,"July 22, 2010 (JP)",,,,
Quiz! Nihongo-Ou,Success,Success,"December 14, 2006 (JP)",,,,
Qupu!! Mame Goma!,Creative Core,Creative Core,"July 16, 2009 (JP)",,,,
Raa Raa The Noisy Lion,Uacari,Avanquest Software,"July 13, 2012 (EU)",,,,
Rabbids Go Home,Ubisoft Montpellier,Ubisoft,"November 1, 2009 (NA)",,,,
Race Driver: Create and Race,Firebrand Games,"Atari, Codemasters","September 28, 2007 (PAL)",,,,
Radiant Historia,Atlus,Atlus,"November 3, 2010 (JP)",,,,
Rafa Nadal Tennis,Virtual Toys,Codemasters,"January 5, 2007 (PAL)",,,,
Ragnarok Online DS,GungHo Works,"GungHo Works, Xseed Games","December 18, 2008 (JP)",,,,
Rain Drops,CyberPlanet Interactive,UFO Interactive,"September 9, 2008 (NA)",,,,
Rainbow Islands Revolution,Taito Corporation,"Codemasters, Rising Star Games, Taito Corporation","December 29, 2005 (JP)",,,,
Rakuraku Shindenzu Training DS,Jupiter Corporation,Medika Shuppan,"December 17, 2008 (JP)",,,,
Ram Racing,Storm City Games,Storm City Games,"October 12, 2011 (NA)",,,,
Rango,Behavior Studios,Paramount Digital Entertainment,"February 25, 2011 (PAL)",,,,
Rapala Pro Bass Fishing,Magic Pockets,Activision,"September 28, 2010 (NA)",,,,
Rayman DS,Ubisoft Montreal,Ubisoft,"March 11, 2005 (PAL)",,,,
Rayman Raving Rabbids,Ubisoft Montpellier,Ubisoft,"March 6, 2007 (NA)",,,,
Rayman Raving Rabbids 2,Ubisoft Paris,Ubisoft,"November 13, 2007 (NA)",,,,
Rayman Raving Rabbids TV Party,Ubisoft Paris,Ubisoft,"November 18, 2008 (NA)",,,,
Reader Rabbit KindergartenKalle Kunskap: 4-7 Ar VouttaEU,The Learning Company,Graffiti Entertainment,"December 15, 2009 (NA)",,,,
Reader Rabbit: on a Mission to Help the Lion FlowersKalle Kunskap: Pa uppdrag hos Lejonblommorna - Matematik 4-8 arEU,The Learning Company,Nordic,"December 15, 2009 (NA)",,,,
Ready Steady Cook,Mindscape,Mindscape,"August 14, 2009 (EU)",,,,
Real Adventures: Wild Horses,Mindscape,Mindscape,"February 7, 2008 (PAL)",,,,
Real Crimes: Jack the Ripper,Virtual Playground,Avanquest Software,"October 1, 2010 (PAL)",,,,
Real Crimes: The Unicorn Killer,Licensed 4U,Licensed 4U,"November 30, 2011 (PAL)",,,,
Real Football 2008,Gameloft,"Gameloft, Ubisoft","October 12, 2007 (PAL)",,,,
Real Football 2009,Ubisoft,Ubisoft,"November 4, 2008 (NA)",,,,
Real Stories FashionShopReal Stories: Passion 4 FashionFR,Mindscape,Mindscape,"October 9, 2008 (PAL)",,,,
Real Stories Mission EquitationMy Horse Club: Auf der Spur des AppaloosasDE,Mindscape,Mindscape,"September 30, 2008 (PAL)",,,,
Real Stories Veterinaire,Mindscape,Mindscape,"September 16, 2008 (PAL)",,,,
Real Time Conflict: Shogun Empires,Box Clever Interactive,Namco,"November 21, 2005 (NA)",,,,
Really? Really!,Kadokawa Shoten,Kadokawa Shoten,"June 25, 2009 (JP)",,,,
Rec Room Games,Destineer,Destineer,"February 22, 2011 (NA)",,,,
Red Stone DS: Akaki Ishi ni Michibikareshi Monotachi,GameOn,GameOn,"May 26, 2011 (JP)",,,,
Red Bull BC One,Smack Down Productions,NA: Ignition EntertainmentEU: Playlogic,"August 28, 2008 (EU)",,,,
Rekiken DS,Rocket Company,Rocket Company,"April 24, 2008 (JP)",,,,
Rekishi Adventure: Quiz San Goku Shi Tsuu DS,Mainichi Communications,Mainichi Communications,"December 11, 2008 (JP)",,,,
Rekishi Gunzou Presents: Monoshiri San Goku Shi,Global A,Global A,"December 11, 2008 (JP)",,,,
Rekishi Taisen Gettenka: Tenkaichi Battle Royale,Sega,Sega,"November 25, 2010 (JP)",,,,
Relaxuma * Rhythm: Mattari Kibun de Da Run Run Run,Rocket Company,Rocket Company,"December 3, 2009 (JP)",,,,
Remindelight,Japan Art Media,Taito Corporation,"September 28, 2006 (JP)",,,,
Remyuouru no Renkinjutsushi,Mainichi Communications,Mainichi Communications,"July 31, 2008 (JP)",,,,
Resident Evil: Deadly Silence,Capcom,"Capcom, Nintendo","January 19, 2006 (JP)",,,,
Restaurant Tycoon,Foreign Media,Foreign Media,"May 28, 2010 (PAL)",,,,
Retro Arcade Toppers,Engine Software,Media Sales & Licensing,"October 28, 2010 (PAL)",,,,
Retro Atari Classics,Taniko,Atari,"March 11, 2005 (PAL)",,,,
Retro Game Challenge,indieszero,"Bandai Namco Games, Xseed Games","November 15, 2007 (JP)",,,,
