3 Choume no Tama: Tama and Friends – 3 Choume Obake Panic!!,Tom Create,B-AI,"August 5, 1994",Unreleased,Unreleased
3-Pun Yosō Umaban Club,Hect,Hect,"October 16, 1992",Unreleased,Unreleased
4-in-1 Fun Pak,Beam Software,Interplay NA/EUImagineer JP,"December 22, 1992",September 1992,September 1992
4-in-1 Funpak: Volume II,Beam Software,Interplay,Unreleased,August 1993,1993
99 Nendohan: Eitango Center 1500,C-Lab,Imagineer,"July 10, 1998",Unreleased,Unreleased
Aa Harimanada,Atelier Double,ASK Kodansha,"July 23, 1993",Unreleased,Unreleased
The Addams Family,Ocean,Ocean NA/EUMisawa JP,"October 23, 1992",January 1992,1992
The Addams Family: Pugsley's Scavenger Hunt,Enigma Variations,Ocean,Unreleased,July 1993,1993
Adventure IslandTakahashi Meijin no Boken Jima II JP,,Hudson Soft,"March 6, 1992",February 1992,"April 23, 1992"
Adventure Island II: Aliens in ParadiseTakahashi Meijin no Boken Jima III JPAdventure Island II EU,Now Production,Hudson Soft,"February 26, 1993",February 1993,1993
Adventures of LoloLolo no Daibouken JP,HAL Laboratory,Imagineer JPNintendo EU,"March 25, 1994",Unreleased,1995
The Adventures of Rocky and Bullwinkle and Friends,Imagineering,THQ,Unreleased,October 1992,Unreleased
The Adventures of Star SaverRubble Saver JP,A-Wave,King Records JPTaito Corporation NA/EU,"May 17, 1991",March 1992,1992
Aerostar,Vic Tokai,Vic Tokai,"June 28, 1991",September 1991,1991
After Burst,Dual,NCS,"October 26, 1990",Unreleased,Unreleased
Aguri Suzuki F-1 Super Driving,Pixel,LOZC G. Amusements,"May 28, 1993",Unreleased,Unreleased
Akazukin Cha Cha,Access,Tomy,"April 28, 1995",Unreleased,Unreleased
Aladdin,NMS Software,Virgin Interactive EUTHQ NA,Unreleased,October 1995,"December 8, 1994"
Alfred Chicken,Twilight,Mindscape NA/EUSunsoft JP,"July 28, 1995",February 1994,1993
Alien Olympics 2044 AD,Dark Technologies,Ocean,Unreleased,Unreleased,September 1994
Alien vs Predator: The Last of His ClanAlien vs. Predator JP,ASK Kodansha,ASK Kodansha JPActivision NA,"September 24, 1993",November 1993,Unreleased
Alien³,Bits Studios,LJN NA/EUAcclaim Japan JP,"July 9, 1993",January 1993,1993
All-Star Baseball '99,Realtime Associates,Acclaim,Unreleased,May 1998,Unreleased
Alleyway,Intelligent Systems,Nintendo,"April 21, 1989","July 31, 1989","September 28, 1990"
Altered Space: A 3-D Alien Adventure,Software Creations,Sony Imagesoft NAEpic/Sony Records JPHi Tech Expressions EU,"November 29, 1991",September 1991,1991
Amazing PenguinOsawagase! Penguin Boy JP,Natsume,Natsume,"August 8, 1990",December 1990,1991
The Amazing Spider-Man,Rare,LJN NANintendo EU,Unreleased,July 1990,1990
The Amazing Spider-Man 2,Bits Studios,LJN,Unreleased,August 1992,1992
Amazing TaterPuzzle Boy II JP,Atlus,Atlus,"August 2, 1991",February 1992,Unreleased
America Ōdan Ultra Quiz,,Tomy,"December 23, 1990",Unreleased,Unreleased
America Ōdan Ultra Quiz Part 2,,Tomy,"December 20, 1991",Unreleased,Unreleased
America Ōdan Ultra Quiz Part 3,,Tomy,"November 27, 1992",Unreleased,Unreleased
America Ōdan Ultra Quiz Part 4,,Tomy,"October 29, 1993",Unreleased,Unreleased
