3-in-1 Sports Pack: Paintball Splat! / Dodgeball Dodge This! / Big Alley Bowling NA• Majesco's Sport Pack PAL,N/A,2005 (NA)2006 (PAL),Skyworks Technologies,Majesco Entertainment,"NA, PAL"
"007: Everything or Nothing NA, PAL• James Bond 007: Everything or Nothing JP• 007: Quitte ou Double FR• 007: Alles oder Nichts DE",Yes,2003 (NA/PAL)2004 (JP),Griptonite Games,"EA Games NA, PAL / Electronic Arts JP","NA, JP, PAL"
007: Nightfire,Yes (VS),2003,JV Games Inc.,Electronic Arts,"NA, PAL"
A Sound of Thunder,"Yes (COOP, SPM)",2004 (PAL)2005 (NA),Möbius Entertainment,"BAM! Entertainment, Inc. / Franchise Interactive","NA, PAL"
Ace Combat Advance,No,2005 (NA)2006 (PAL),HumanSoft,Namco,"NA, PAL"
Ace Lightning,No,2002,Tiertex Design Studios,BBC Multimedia,PAL
Action Man: Robot Atak,No,2004,Magic Pockets,Atari,PAL
Activision Anthology,Yes (SPM),2003,Aspyr,Aspyr,NA
Advance Guardian Heroes,Yes (COOP),2004,Treasure Co. Ltd,Ubisoft,"NA, JP, PAL"
"Advance Wars NA, PAL /Game Boy Wars Advance & Game Boy Wars Advance 2 JP",Yes (SPM),2001,Intelligent Systems,Nintendo,"NA, PAL"
Advance Wars 2: Black Hole Rising,Yes (SPM),2003,Intelligent Systems,Nintendo,"NA, PAL"
Adventure of Tokyo Disney Sea,N/A,2001,,Konami,JP
The Adventures of Jimmy Neutron vs. Jimmy Negatron,Yes (SPM),2002,HumanSoft,THQ,"NA, PAL"
"The Adventures of Jimmy Neutron Boy Genius: Attack of the Twonkies NA, PAL• Jimmy Neutron un Garçon Génial: L'Attaque des Twonkies FR",Yes,2004,Tantalus,THQ,"NA, PAL"
The Adventures of Jimmy Neutron Boy Genius: Jet Fusion,No,2003,Helixe,THQ,"NA, PAL"
"Aero the Acro-Bat: Rascal Rival Revenge NA, PAL• Acrobat Kid JP",No,2002,Atomic Planet Entertainment,Metro3D,"NA, JP, PAL"
Agassi Tennis Generation,Yes,2003,Aqua Pacific,DreamCatcher Interactive,"NA, PAL"
Agent Hugo: Roborumble,N/A,2007,Program-Ace,ITE Media,PAL
Aggravation / Sorry / Scrabble Junior,N/A,2005,Gravity-I,DSI Games,"NA, PAL"
Aggressive Inline,N/A,2002,Full Fat,AKA Acclaim,"NA, PAL"
AirForce Delta Storm NA• Airforce Delta II JP• Deadly Skies PAL,No,2002,Mobile21,Konami,"NA, JP, PAL"
Aka-chan Dōbutsuen,N/A,2004,,TDK Core,JP
Akagi: Yami ni Maiorita Tensai,N/A,2006,,Culture Brain,JP
Aleck Bordon Adventure: Tower and Shaft Advance,N/A,2004,Aruze,Aruze,JP
Alex Ferguson's Player Manager 2002 UK• Total Soccer Manager PAL• Guy Roux Manager 2002 FR,N/A,2002,Exient Entertainment,Ubisoft,PAL
Alex Rider: Stormbreaker,N/A,2006,Razorback Developments,THQ,"NA, PAL"
Alienators: Evolution Continues,N/A,2001,Digital Eclipse,Activision,"NA, PAL"
Alien Hominid,No,2006,Tuna,Zoo Digital Publishing,PAL
All Grown Up!: Express Yourself NA• Razbitume! — Restez Branches! FR,Yes,2004,Altron,THQ,"NA, PAL"
All-Star Baseball 2003,N/A,2002,Software Creations,Acclaim Sports,NA
All-Star Baseball 2004,N/A,2003,Acclaim Studios Manchester,Acclaim Sports,NA
Altered Beast: Guardian of the Realms,Yes,2002,3d6 Games,THQ,"NA, PAL"
The Amazing Virtual Sea-Monkeys,N/A,2002,Elo Interactive,Conspiracy Entertainment,NA
