3D Pocket Pool,No,—,Aardvark Software,Virgin Interactive,"March 30, 2001 (EU)",,,,No
3D Ultra Pinball: Thrillride,No,Rumble Pak,Left Field Productions,Sierra On-Line,"December 1, 2000 (NA)",,,,No
007: The World Is Not Enough,No,—,2n Productions,Electronic Arts,"September 11, 2001 (NA)September 28, 2001 (EU)",,,,No
10 Pin Bowling,No,Rumble Pak,Morning Star Multimedia,Majesco,"August 1, 1999 (NA,EU)",,,,No
1942,No,—,Digital Eclipse,Capcom,"May 1, 2000 (NA)January 1, 2001 (EU)",,,,No
720°,Yes,—,Digital Eclipse,Midway,"March 1, 1999 (NA/EU)",,,,No
Action Man: Search for Base X,No,—,Natsume,THQ,"February 6, 2001 (NA)March 9, 2001 (EU)",,,,No
The Adventures of the Smurfs,No,—,Infogrames,Infogrames,"October 11, 2001 (EU)",,,,No
AirForce Delta•Deadly Skies EU,No,—,Climax,Konami,"November 22, 2000 (JP)November 21, 2000 (NA)December 2000 (EU)",,,,No
Alfred's Adventure,No,—,Möbius Entertainment,Sales Curve Interactive,"September 1, 2000 (EU)",,,,No
Alice in Wonderland,No,—,Digital Eclipse,Nintendo,"October 4, 2000 (NA)April 20, 2001 (EU)",,,,No
Aliens: Thanatos Encounter,No,—,Crawfish Interactive,THQ,"March 30, 2001 (NA, EU)",,,,No
All-Star Baseball 2000,No,—,Realtime Associates,Acclaim Sports,"May 1, 1999 (NA/EU)",,,,No
All-Star Baseball 2001,No,—,KnowWonder,Acclaim Sports,"June 1, 2000 (NA)",,,,No
All Star Tennis 2000 •DSF All Star Tennis DE•Yannick Noah All Star Tennis FR,Yes,—,Smart Dog,Ubi Soft,"June 25, 1999 (EU)",,,,No
Alone in the Dark: The New Nightmare,No,—,Pocket Studios,Infogrames,"June 27, 2001 (NA)May 18, 2001 (EU)",,,,No
Animal Breeder 3,Yes,—,J-Wing,J-Wing,"June 24, 1999 (JP)",,,,No
Animal Breeder 4,No,—,J-Wing,J-Wing,"January 1, 2001 (JP)",,,,No
Animastar GB,No,—,Aki Corp.,Media Factory,"March 30, 2001 (JP)",,,,No
Animorphs,No,—,Runny-Fun,Ubi Soft,"November 7, 2000 (NA)December 15, 2000 (EU)",,,,No
Antz,Yes,—,CLCE & Planet,Infogrames,"September 24, 1999 (NA,EU)",,,,No
Antz Racing,No,—,RFX Interactive,Acclaim EntertainmentNAElectronic ArtsEU,"June 1, 2001 (NA)March 30, 2001 (EU)",,,,No
Antz World Sportz,No,—,M4 Limited,Light and Shadow Production,"November 30, 2001 (EU)",,,,No
AquaLife,Yes,—,Tamsoft,Tamsoft,"October 22, 1999 (JP)",,,,No
Arle no Bouken: Mahou no Jewel,Yes,—,Compile,Compile,"March 31, 2000 (JP)",,,,No
