1080° Avalanche,Nintendo,Nintendo,2003-11-28PAL,"November 28, 2003","January 22, 2004","December 1, 2003"
18 Wheeler: American Pro Trucker,Acclaim Studios Cheltenham,Acclaim Entertainment,2002-02-18NA,"May 31, 2002","September 12, 2002","February 18, 2002"
2002 FIFA World Cup,TOSE,"EA SportsNA,PAL, Electronic Arts VictorJP",2002-04-30NA,"May 3, 2002","May 2, 2002","April 30, 2002"
2006 FIFA World Cup•FIFA World Cup: Germany 2006,EA Canada,EA Sports,2006-04-24NA,"April 28, 2006","May 18, 2006","April 24, 2006"
4x4 EVO 2,Terminal Reality,Vivendi Universal Games,2002-10-29NA,Unreleased,Unreleased,"September 29, 2002"
The Adventures of Jimmy Neutron Boy Genius: Attack of the Twonkies,THQ,THQ,2004-10-13NA,"February 11, 2005",Unreleased,"September 13, 2004"
The Adventures of Jimmy Neutron Boy Genius: Jet Fusion,Krome Studios,THQ,2003-10-16NA,"November 21, 2003",Unreleased,"September 16, 2003"
Aggressive Inline,Underground Development,AKA Acclaim,2002-07-31NA,"September 6, 2002",Unreleased,"July 31, 2002"
Alien Hominid,The Behemoth,O3 Entertainment,2004-11-23NA,Unreleased,Unreleased,"November 23, 2004"
All-Star Baseball 2002[10],Acclaim Studios Austin,Acclaim Sports,2001-11-18NA,Unreleased,Unreleased,"November 18, 2001"
All-Star Baseball 2003,Acclaim Studios Austin,Acclaim Sports,2002-02-25NA,Unreleased,"August 8, 2002","February 25, 2002"
All-Star Baseball 2004,Acclaim Studios Austin,Acclaim Sports,2003-02-23NA,Unreleased,Unreleased,"February 23, 2003"
Amazing Island,Ancient,Sega,2004-01-15JP,Unreleased,"January 15, 2004","August 25, 2004"
American Chopper 2: Full Throttle,Creat Studios,Activision,2005-11-29NA,Unreleased,Unreleased,"November 29, 2005"
Animal Crossing,Nintendo EAD,Nintendo,2001-12-14JP,"September 24, 2004","December 14, 2001","September 15, 2002"
Animaniacs: The Great Edgar Hunt,Warthog Games,Ignition Entertainment,2005-05-27PAL,"May 27, 2005",Unreleased,"September 18, 2005"
The Ant Bully,Artificial Mind and Movement,Midway Games,2006-07-24NA,Unreleased,Unreleased,"July 24, 2006"
Aquaman: Battle for Atlantis,Lucky Chicken Games,TDK Mediactive,2003-07-23NA,Unreleased,Unreleased,"July 23, 2003"
Army Men: Air Combat - The Elite Missions,Wide Games,The 3DO Company,2003-03-25NA,Unreleased,Unreleased,"March 25, 2003"
Army Men RTS: Real Time Strategy,Pandemic Studios,The 3DO Company,2004-11-02NA,Unreleased,Unreleased,"November 2, 2004"
Army Men: Sarge's War,The 3DO Company,Global Star Software,2004-08-21NA,Unreleased,Unreleased,"August 21, 2004"
Asterix & Obelix XXLPAL,Étranges Libellules,Atari Europe,2004-06-18PAL,"June 18, 2004",Unreleased,Unreleased
ATV: Quad Power Racing 2,Climax Group,AKA Acclaim,2003-01-22NA,"February 28, 2003",Unreleased,"January 22, 2003"
Auto Modellista,Capcom,Capcom,2003-07-03JP,Unreleased,"July 3, 2003","September 30, 2003"
Avatar: The Last Airbender•Avatar: The Legend of AangPAL,THQ,THQ,2006-10-10NA,"February 9, 2007",Unreleased,"October 10, 2006"
Backyard Baseball,Humongous Entertainment,Infogrames,2003-03-31NA,Unreleased,Unreleased,"March 31, 2003"
Backyard Baseball 2007,GameBrains,Atari,2006-04-03NA,Unreleased,Unreleased,"April 3, 2006"
Backyard Football,Humongous Entertainment,Infogrames,2002-10-10NA,Unreleased,Unreleased,"October 10, 2002"
Bad Boys: Miami Takedown•Bad Boys IIPAL,Blitz Games,"Crave Entertainment, Empire Interactive",2004-09-14NA,"October 15, 2004",Unreleased,"September 14, 2004"
Baldur's Gate: Dark Alliance,"Snowblind Studios, High Voltage Software",Interplay Entertainment,2002-11-18NA,"April 25, 2003",Unreleased,"November 18, 2002"
Barnyard,Blue Tongue Entertainment,THQ,2006-08-01NA,"October 13, 2006",Unreleased,"August 1, 2006"
The Baseball 2003,Konami,Konami,2003-03-20JP,Unreleased,"March 20, 2003",Unreleased
Baten Kaitos: Eternal Wings and the Lost Ocean,"tri-Crescendo, Monolith Soft","Namco, Nintendo",2003-12-05JP,"April 1, 2005","December 5, 2003","November 16, 2004"
Baten Kaitos Origins,"tri-Crescendo, Monolith Soft",Nintendo,2006-02-23JP,Unreleased,"February 23, 2006","September 25, 2006"
Batman Begins,Eurocom,Electronic Arts,2005-06-14NA,"June 17, 2005",Unreleased,"June 14, 2005"
Batman: Vengeance[11],Ubisoft Montreal,Ubisoft,2001-11-18NA,"May 3, 2002",Unreleased,"November 18, 2001"
Batman: Dark Tomorrow,HotGen,Kemco,2003-03-21JP,"April 11, 2003","March 21, 2003","March 25, 2003"
Batman: Rise of Sin Tzu,Ubisoft Montreal,Ubisoft,2003-11-11NA,"December 5, 2003",Unreleased,"November 11, 2003"
Battalion Wars,Kuju Entertainment,Nintendo,2005-09-19NA,"December 9, 2005EU February 16, 2006AUS","October 27, 2005","September 19, 2005"
Battle Stadium D.O.N,"Eighting, Q Entertainment",Namco Bandai Games,2006-07-20JP,Unreleased,"July 20, 2006",Unreleased
Beach Spikers,Sega-AM2,Sega,2002-07-19JP,"September 27, 2002","July 19, 2002","August 12, 2002"
Beyblade VForce: Super Tournament Battle,A.I,Takara (Japan)Atari (Overseas),2002-12-19JP,"November 28, 2003","December 19, 2002","September 23, 2003"
Beyond Good & Evil,Ubisoft MontpellierUbisoft Milan,Ubisoft,2003-12-11NA,"February 27, 2004",Unreleased,"December 11, 2003"
Big Air Freestyle,Paradigm Entertainment,Infogrames,2002-09-13NA,"November 8, 2002",Unreleased,"September 13, 2002"
Big Mutha Truckers,Eutechnyx,"Empire Interactive, THQ",2003-08-16NA,"September 5, 2003",Unreleased,"August 16, 2003"
Billy Hatcher and the Giant Egg,Sonic Team,Sega,2003-09-23NA,"October 31, 2003","October 9, 2003","September 23, 2003"
Bionicle,Argonaut Games,Electronic Arts Lego Interactive,2003-10-20NA,"October 31, 2003",Unreleased,"October 20, 2003"
Bionicle Heroes,Traveller's Tales,Eidos Interactive,2006-11-14NA,Unreleased,Unreleased,"November 14, 2006"
Black & Bruised,Digital Fiction,Majesco EntertainmentVivendi Universal Games (Europe),2003-01-26NA,"June 27, 2003",Unreleased,"January 26, 2003"
Bleach GC: Tasogare Ni Mamieru Shinigami,Sega,Sega,2005-12-08JP,Unreleased,"December 8, 2005",Unreleased
Blood Omen 2,Crystal Dynamics,Eidos Interactive,2002-12-09NA,"January 24, 2003",Unreleased,"December 9, 2002"
BloodRayne,Terminal Reality,"Majesco Entertainment, Vivendi Universal Games",2002-10-15NA,"May 23, 2003",Unreleased,"October 15, 2002"
Bloody Roar: Primal Fury,Eighting,"Activision, Hudson Soft",2002-03-18NA,"May 3, 2002","April 25, 2002","March 18, 2002"
BlowOut,Pipe Dream Interactive,Majesco Entertainment,2003-11-26NA,Unreleased,Unreleased,"November 26, 2003"
BMX XXX,Z-Axis,AKA Acclaim,2002-11-24NA,"February 7, 2003",Unreleased,"November 24, 2002"
Bobobo-bo Bo-bobo Dassutsu! Hajike Royale,Hudson Soft,Hudson Soft,2005-03-18JP,Unreleased,"March 18, 2005",Unreleased
Bokujou Monogatari: Shiawase no Uta,Marvelous Interactive,Marvelous Interactive,2005-05-03JP,Unreleased,"May 3, 2005",Unreleased
Bomberman Generation,Hudson Soft,Hudson Soft Majesco Entertainment (North America)Vivendi Universal Games (Europe),2002-06-03NA,"December 6, 2002","June 27, 2002","June 3, 2002"
Bomberman Jetters,Hudson Soft,Hudson Soft Majesco Entertainment (North America),2002-12-19JP,Unreleased,"December 19, 2002","March 10, 2004"
Bomberman Land 2,Racjin,Hudson Soft,2003-07-31JP,Unreleased,"July 31, 2003",Unreleased
Bratz: Forever Diamondz,Blitz Games,THQ,2006-09-18NA,"November 3, 2006",Unreleased,"September 18, 2006"
Bratz: Rock Angelz,Blitz Games,THQ,2005-10-05NA,"October 14, 2005",Unreleased,"October 5, 2005"
Buffy the Vampire Slayer: Chaos Bleeds,Eurocom Entertainment Software,Vivendi Universal Games,2003-08-28NA,"October 24, 2003",Unreleased,"August 28, 2003"
Burnout,Criterion Games,Acclaim Entertainment,2002-04-29NA,"May 3, 2002",Unreleased,"April 29, 2002"
Burnout 2: Point of Impact,Criterion Games,Acclaim Entertainment,2003-04-09NA,"May 9, 2003",Unreleased,"April 9, 2003"
Bust-a-Move 3000•Super Bust-a-Move All-StarsPAL,Taito,TaitoUbisoft (NA/EU),2003-02-12NA,"September 5, 2003","February 27, 2003","February 12, 2003"
Butt-Ugly Martians: Zoom or DoomPAL,Runecraft,Vivendi Universal Publishing,2003-05-10PAL,"May 10, 2003",Unreleased,Unreleased
Cabela's Big Game Hunter 2005 Adventures,Magic Wand Productions,Activision,2004-12-09NA,Unreleased,Unreleased,"December 9, 2004"
Cabela's Dangerous Hunts 2,Fun Labs,Activision,2005-11-16NA,Unreleased,Unreleased,"November 16, 2005"
Cabela's Outdoor Adventures,Magic Wand Productions,Activision,2005-09-13NA,Unreleased,Unreleased,"September 13, 2005"
Call of Duty 2: Big Red One,Treyarch,Activision,2005-11-01NA,"November 18, 2005",Unreleased,"November 1, 2005"
Call of Duty: Finest Hour,Exakt Entertainment,Activision,2004-11-16NA,"November 26, 2004",Unreleased,"November 16, 2004"
"Capcom vs. SNK 2 EO•Capcom vs. SNK 2 EO: Millionaire Fighting 2001JP,PAL",Capcom,Capcom,2002-07-04JP,"August 30, 2002","July 4, 2002","September 23, 2002"
Captain Tsubasa: Ōgon Sedai no Chōsen,Konami,Konami,2002-09-12JP,Unreleased,"September 12, 2002",Unreleased
Carmen Sandiego: The Secret of the Stolen Drums,Artificial Mind and Movement,BAM! Entertainment,2004-03-05PAL,"March 5, 2004",Unreleased,"September 13, 2004"
Cars,Rainbow Studios,THQ,2006-07-06NA,"July 14, 2006","July 6, 2006","June 6, 2006"
Casper: Spirit Dimensions,Lucky Chicken Games,TDK Mediactive,2002-10-15NA,"February 14, 2003",Unreleased,"October 15, 2002"
Catwoman,Argonaut Games,EA Games,2004-07-20NA,"August 6, 2004",Unreleased,"July 20, 2004"
Cel Damage,Pseudo Interactive,EA Games,2002-01-07NA,"May 3, 2002",Unreleased,"January 7, 2002"
Chaos Field,Milestone,"O3 EntertainmentNA, SegaJP",2005-02-24JP,Unreleased,"February 24, 2005","December 20, 2005"
Charinko Hero,Banpresto,Banpresto,2003-07-17JP,Unreleased,"July 17, 2003",Unreleased
Charlie and the Chocolate Factory,"High Voltage Software, Backbone Entertainment",Global Star Software,2005-07-11NA,"July 22, 2005",Unreleased,"July 11, 2005"
Charlie's Angels,Neko Entertainment,Ubisoft,2003-07-09NA,"July 18, 2003",Unreleased,"July 9, 2003"
Chibi-Robo!,Skip Ltd.,Nintendo,2005-06-23JP,"May 26, 2006","June 23, 2005","February 6, 2006"
Chicken Little,Avalanche Software,"Buena Vista Games, D3 PublisherJP",2005-10-20NA,"February 10, 2006","December 15, 2005","October 20, 2005"
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Traveller's Tales,Buena Vista Games,2005-11-14NA,"March 31, 2006",Unreleased,"November 14, 2005"
City Racer,Ubisoft Bucharest,Ubisoft,2003-04-29NA,Unreleased,Unreleased,"April 29, 2003"
Cocoto FunfairPAL,Neko Entertainment,BigBen Interactive,2006-04-07PAL,"April 7, 2006",Unreleased,Unreleased
Cocoto Kart RacerPAL,Neko Entertainment,BigBen Interactive,2005-04-22PAL,"April 22, 2005",Unreleased,Unreleased
Cocoto Platform JumperPAL,Neko Entertainment,BigBen Interactive,2004-12-10PAL,"December 10, 2004",Unreleased,Unreleased
Codename: Kids Next Door – Operation: V.I.D.E.O.G.A.M.E.,High Voltage Software,Global Star Software,2005-10-11NA,"December 2, 2005",Unreleased,"October 11, 2005"
ConanPAL,Cauldron Ltd.,TDK Mediactive,2005-04-15PAL,"April 15, 2005",Unreleased,Unreleased
Conflict: Desert Storm,Pivotal Games,"Gotham GamesNA, SCiPAL",2003-04-17PAL,"April 17, 2003",Unreleased,"April 22, 2003"
Conflict: Desert Storm II - Back to Baghdad•Conflict: Desert Storm IIPAL,Pivotal Games,"Gotham GamesNA, SCiPAL",2004-01-07NA,"February 6, 2004",Unreleased,"January 7, 2004"
Crash Bandicoot: The Wrath of Cortex,Eurocom Entertainment Software,Vivendi Universal Interactive PublishingKonamiJP,2002-09-17NA,"November 1, 2002","December 4, 2003","September 17, 2002"
Crash Nitro Kart,Vicarious Visions,Vivendi Universal GamesKonamiJP,2003-07-08JP,"November 28, 2003","July 8, 2003","November 11, 2003"
Crash Tag Team Racing,Radical Entertainment,Vivendi Universal Games,2005-10-19NA,"November 11, 2005","December 1, 2005","October 19, 2005"
