3 Ninjas Kick Back,Malibu Interactive,Psygnosis,Unreleased,"June 1, 1994",Unreleased,
688 Attack Sub,MicroProse,Sega,Unreleased,July 1991,September 1991,
A Dinosaur's Tale,Funcom,Hi-Tech Entertainment,Unreleased,1993,Unreleased,
A Ressha de Ikou MD,MNM Software,Sega,"April 10, 1992",Unreleased,Unreleased,
Aaahh!!! Real Monsters,Realtime Associates,Viacom New Media,Unreleased,"August 15, 1995",November 1995,
Aah! Harimanada,Sega CSMegasoft,Sega,"September 3, 1993",Unreleased,Unreleased,
Addams Family Values,Ocean Software,Ocean Software,Unreleased,Unreleased,June 1995,
The Addams Family,Ocean Software,Flying Edge,Unreleased,October 1993,November 1994,
Advanced Busterhawk Gley Lancer,NCSCube,Masaya,"July 17, 1992",Unreleased,Unreleased,
Advanced Daisenryaku -Deutsch Dengeki Sakusen-,Sega CS,Sega,"June 17, 1991",Unreleased,Unreleased,
The Adventures of Batman & Robin,Clockwork Tortoise,Sega,Unreleased,"August 2, 1995",June 1995,
The Adventures of Mighty Max,WJS Design,Ocean Software,Unreleased,February 1995,November 1994,
The Adventures of Rocky and Bullwinkle and Friends,Imagineering,Absolute Entertainment,Unreleased,"May 1, 1994",Unreleased,
Aero the Acro-Bat,Iguana Entertainment,Sunsoft,Unreleased,"August 1, 1993",1993,
Aero the Acro-Bat 2,Iguana Entertainment,Sunsoft,Unreleased,January 1995,August 1995,
AerobizAir Management: Oozora ni KakeruJP,Koei,Koei,"November 1, 1992",1992,Unreleased,
Aerobiz SupersonicAir Management II: Koukuu Ou wo MezaseJP,Koei,Koei,"February 18, 1994",November 1994,Unreleased,
After Burner II,Dempa,Dempa JPSega NA/PAL,"March 23, 1990",July 1990,April 1991,
Air BusterAero BlastersJP,Inter State,Kaneko,"January 31, 1991",February 1991,Unreleased,
Air Diver,Copya System,Asmik JPSeismicNA,"March 9, 1990",April 1990,Unreleased,
Alex Kidd in the Enchanted CastleAlex Kidd: Tenkuu MajouJP,Sega R&D2,Sega,"February 10, 1989","March 14, 1990","November 30, 1990",
Alien 3,Probe Software,Arena Entertainment,Unreleased,October 1992[15],October 1992,
Alien Soldier,Treasure,Sega,"January 24, 1995",April 1995,June 1995,
Alien Storm,Sega CS,Sega,"June 28, 1991",July 1991,September 1991,
Alisia Dragoon,Game Arts,Game ArtsJPSegaNA/PAL,"April 24, 1992","March 30, 1992[16]",1992,
Altered BeastJuuoukiJP,Sega R&D2,Sega,"November 27, 1988","August 14, 1989","November 30, 1990",
American Gladiators,Imagitec Design,GameTek,Unreleased,January 1993[17],Unreleased,
Andre Agassi Tennis,TecMagik,TecMagik,Unreleased,January 1993[17],1992,
Animaniacs,Konami,Konami,Unreleased,"May 14, 1994",November 1994,
Another WorldOut of This WorldNA,Delphine Software,Virgin Games,Unreleased,March 1993,April 1993,
The Aquatic Games starring James Pond and The Aquabats,Millennium Interactive,Electronic Arts,Unreleased,September 1992,September 1992,
Arcade Classics,Al Baker & Associates,Sega,Unreleased,July 1996[18],1996,
Arch Rivals: The Arcade Game,Arc Developments,Flying Edge,Unreleased,July 1992[19],1992,
Arcus Odyssey,Wolf Team,Telenet JapanJPRenovation ProductsNA,"June 14, 1991",September 1991,Unreleased,
Ariel the Little Mermaid,BlueSky Software,Sega,Unreleased,December 1992[20],"December 14, 1992",
Arnold Palmer Tournament GolfNaomichi Ozaki no Super MastersJP,Sega R&D2,Sega,"September 9, 1989",October 1989,January 1991,
Arrow Flash,I.T.L,SegaJP/PALRenovation ProductsNA,"October 20, 1990",January 1991,May 1991,
Art Alive!,Western TechnologiesFarSight Technologies,Sega,"March 27, 1992",January 1992[21],March 1992,
Art of FightingRyuuko no KenJP,SNK,Sega,"January 14, 1994",October 1994,March 1994,
Asterix and the Great Rescue,Core Design,Sega,Unreleased,June 1994,December 1993,
Asterix and the Power of the Gods,Core Design,Sega,Unreleased,Unreleased,April 1995,
Atomic Robo-Kid,Micronics,Treco,"December 14, 1990",October 1990,Unreleased,
Atomic RunnerChelnovJP,Data East,Data East NA/JPSega PAL,"October 16, 1992",July 1992[19],1992,
ATP Tour Championship Tennis,SIMS,Sega,Unreleased,December 1994,March 1995,
Australian Rugby League,I-Space Interactive,Electronic Arts,Unreleased,Unreleased,1994,
Awesome Possum... Kicks Dr. Machino's ButtAusam PossumJP,Tengen,Tengen,"December 25, 1993","November 25, 1993",Unreleased,
B.O.B.Space Funky B.O.B.JP,Foley Hi-Tech Systems,Electronic ArtsNA/PALElectronic Arts VictorJP,"November 19, 1993",September 1993,August 1993,
Back to the Future Part III,Probe Software,Arena EntertainmentNAImage WorksPAL,Unreleased,January 1992[21],February 1991,
Bahamut Senki,Sega CS,Sega,"March 8, 1991",Unreleased,Unreleased,
Ball Jacks,Namco,Namco,"April 23, 1993",Unreleased,November 1993,
Ballz 3D: Fighting at its BallziestBallz 3D: The Battle of the BallzPAL,PF Magic,Accolade,Unreleased,October 1994,September 1994,
Barbie: Super Model,Tahoe Software,Hi-Tech Expressions,Unreleased,1993,Unreleased,
Barkley Shut Up and Jam!,Accolade,Accolade,Unreleased,April 1994,1994,
Barkley Shut Up and Jam! 2,Accolade,Accolade,Unreleased,April 1995,Unreleased,
Barney's Hide & Seek Game,Realtime Associates,Sega,Unreleased,"June 1, 1993",Unreleased,
Bass Masters Classic,Black Pearl Software,Black Pearl Software,Unreleased,June 1995,Unreleased,
Bass Masters Classic: Pro Edition,Black Pearl Software,Black Pearl Software,Unreleased,April 1996,Unreleased,
BatmanBatman: The Video GameNA,Sunsoft,SunsoftJP/NASegaPAL,"July 19, 1990","June 27, 1991",July 1992,
Batman Forever,Probe Entertainment,Acclaim Entertainment,"October 17, 1995","September 7, 1995",October 1995,
Batman Returns,Malibu Interactive,Sega,"February 19, 1993",December 1992[22],November 1992,
Batman: Revenge of the Joker,Ringler Studios,Sunsoft,Unreleased,January 1993[17],Unreleased,
Battle Golfer Yui,Sega CSSantos,Sega,"February 15, 1991",Unreleased,Unreleased,
Battle Mania Daiginjō,Vic Tokai,Vic Tokai,"December 24, 1993",Unreleased,Unreleased,
Battle Master,Nick Pelling,Arena Entertainment,Unreleased,December 1991[23],Unreleased,
Battle Squadron,Innerprise Software,Electronic Arts,Unreleased,December 1990,January 1991,
Battletech: A Game of Armored Combat,Malibu Interactive,Extreme Entertainment Group,Unreleased,October 1994,Unreleased,
Battletoads,Arc System Works,Tradewest NASega JP/PAL,"March 26, 1993",March 1993,July 1993,
Battletoads & Double Dragon,Rare,Tradewest,Unreleased,December 1993,Unreleased,
Beast WrestlerBeast WarriorsJP,Telenet JapanRiot,Telenet JapanJPRenovation ProductsNA,"November 29, 1991",December 1991[23],Unreleased,
Beauty & The Beast: Belle's Quest,Software Creations,Sunsoft,Unreleased,December 1993,Unreleased,
Beauty & The Beast: Roar of the Beast,Software Creations,Sunsoft,Unreleased,December 1993,Unreleased,
Beavis and Butt-Head,Radical Entertainment,Viacom New Media,Unreleased,November 1994,May 1995,
The Berenstain Bears' Camping Adventure,Realtime Associates,Sega,Unreleased,October 1994,Unreleased,
Best of the Best: Championship KarateThe Kick BoxingJP,Loriciel,Micro WorldJPElectro BrainNA,"January 29, 1993",July 1993,Unreleased,
Beyond OasisThe Story of ThorJP/PAL,Ancient,Sega,"December 12, 1994","March 15, 1995",March 1995,
Bill Walsh College Football,High Score ProductionsJim Simmons,Electronic Arts,Unreleased,August 1993,September 1993,
Bill Walsh College Football '95,High Score ProductionsJim Simmons,Electronic Arts,Unreleased,"June 1, 1994",Unreleased,
Bimini Run,Microsmiths,Nuvision Entertainment,Unreleased,February 1991,Unreleased,
Bio-Hazard BattleCrying: Aseimei SensouJP,Sega CS,Sega,"October 30, 1992",November 1992[20],November 1992,
Bishoujo Senshi Sailor Moon,Arc System WorksTNS,Ma-Ba,"July 8, 1994",Unreleased,Unreleased,
Blades of Vengeance,Beam Software,Electronic Arts,Unreleased,December 1993,"December 17, 1993",
Blaster Master 2,Software Creations,Sunsoft,Unreleased,"March 15, 1993",Unreleased,
Blockbuster World Video Game Championship II,Acclaim EntertainmentIguana Entertainment,Acclaim Entertainment,Unreleased,1995,Unreleased,
Blockout,Electronic Arts,Electronic ArtsNA/PALSegaJP,"November 1, 1991",September 1991,July 1991,
BloodshotBattle FrenzyEU,Domark,Domark,Unreleased,November 1994,January 1995,
Blue Almanac,Hot B,Kodansha,"June 22, 1991",Unreleased,Unreleased,
Bodycount,Probe Software,Sega,Unreleased,Unreleased,March 1994,
Bonanza Bros.,Sega CS,Sega,"May 17, 1991","May 16, 1991[24]","December 15, 1991",
