64 de Hakken!! Tamagotchi: Minna de Tamagotchi World,BandaiHudson Soft,Bandai Games,Party/Board Game,1997-12-19JP,"December 19, 1997",Unreleased,Unreleased
64 Hanafuda: Tenshi no Yakusoku,Altron,Altron,Simulation/Hanafuda,1999-11-15JP,"November 5, 1999",Unreleased,Unreleased
64 Ozumo,Bottom Up,Bottom Up,Sports/Sumo Wrestling,1997-11-28JP,"November 28, 1997",Unreleased,Unreleased
64 Ozumo 2,Bottom Up,Bottom Up,Sports/Sumo Wrestling,1999-03-19JP,"March 19, 1999",Unreleased,Unreleased
64 Trump Collection: Alice no Waku Waku Trump World,Bottom Up,Bottom Up,Simulation/Card Game,1998-08-07JP,"August 7, 1998",Unreleased,Unreleased
1080° Snowboarding,Nintendo EAD,Nintendo,Sports/Snowboarding,1998-02-28JP,"February 28, 1998","April 1, 1998","October 9, 1998"
Aero Fighters AssaultSonic Wings AssaultJP,Paradigm Entertainment,Video System,Simulation/Flight Combat,1997-11-21NA,"March 19, 1998","November 21, 1997","April 12, 1998"
AeroGauge,Locomotive Corporation,ASCII Entertainment,Racing/Hovercraft,1997-12-19JP,"December 19, 1997","April 30, 1998","May 1, 1998"
AI Shogi 3,A.I,ASCII Something Good,Traditional/Shogi,1998-12-18JP,"December 18, 1998",Unreleased,Unreleased
Aidyn Chronicles: The First Mage,H2O Entertainment,THQ,Role Playing/Classic RPG,2001-03-14NA,Unreleased,"March 14, 2001","August 3, 2001"
Air Boarder 64,Human Entertainment,Human EntertainmentJPGaga Interactive MediaPAL,Racing/Hoverboard,1998-03-27JP,"March 27, 1998",Unreleased,November 1998
All Star Tennis '99Yannick Noah All Star Tennis '99FRA,Smart Dog,Ubi Soft,Sports/Tennis,1999-01PAL,Unreleased,"August 31, 1999",January 1999
All-Star Baseball 99,Iguana Entertainment,Acclaim Sports,Sports/Baseball,1998-04-27NA,Unreleased,"April 27, 1998","August 1, 1998"
All-Star Baseball 2000,Iguana Entertainment,Acclaim Sports,Sports/Baseball,1999-04-08NA,Unreleased,"April 8, 1999","May 1, 1999"
All-Star Baseball 2001,High Voltage Software,Acclaim Sports,Sports/Baseball,2000-03-31NA,Unreleased,"March 31, 2000",Unreleased
Armorines: Project S.W.A.R.M.,Acclaim Studios London,Acclaim Entertainment,Action/First-Person Shooter,1999-12-09NA,Unreleased,"December 9, 1999","December 17, 1999"
