The 3-D Battles of WorldRunner,Square,Acclaim Entertainment,Unreleased,September 1987,Unreleased
8 Eyes,Thinking Rabbit,Taxan,Unreleased,January 1990,Unreleased
10-Yard Fight,Irem,Nintendo,Nintendo,"October 18, 1985","December 6, 1986"
720°,Beam Software,Mindscape,Unreleased,November 1989,Unreleased
1942,Micronics,Capcom,Unreleased,"November 1, 1986",Unreleased
1943: The Battle of Midway,Capcom,Capcom,Unreleased,October 1988,Unreleased
Abadox: The Deadly Inner War,Natsume,Milton Bradley Company,Unreleased,March 1990,Unreleased
The Addams Family,Ocean Software,Ocean Software,Ocean Software,January 1992,December 1992
The Addams Family: Pugsley's Scavenger Hunt,Enigma Variations,Ocean Software,Ocean Software,August 1993,1992
Advanced Dungeons & Dragons: DragonStrike,Westwood Associates,FCI,Unreleased,July 1992,Unreleased
Advanced Dungeons & Dragons: Heroes of the Lance,Natsume,FCI,Unreleased,January 1991,Unreleased
Advanced Dungeons & Dragons: Hillsfar,Crosstalk,FCI,Unreleased,February 1993,Unreleased
Advanced Dungeons & Dragons: Pool of Radiance,"Marionette, SRS",FCI,Unreleased,April 1992,Unreleased
Adventure Island (NA)Adventure Island Classic (EU)Adventure Island Classic in the Pacific (FR),Hudson Soft,Hudson Soft,Hudson Soft,September 1988,1992
Adventure Island II (NA)The Adventure Island Part II (EU),Now Production,Hudson Soft,Hudson Soft,February 1991,"July 22, 1992"
Adventure Island 3,Now Production,Hudson Soft,Unreleased,September 1992,Unreleased
Adventures in the Magic Kingdom,Capcom,Capcom,Capcom,June 1990,"December 10, 1992"
The Adventures of Bayou Billy,Konami,Konami,Konami,June 1989,"January 24, 1991"
Adventures of Dino Riki,Hudson Soft,Hudson Soft,Unreleased,September 1989,Unreleased
The Adventures of Gilligan's Island,Human Entertainment,Bandai,Unreleased,July 1990,Unreleased
Adventures of Lolo,HAL Laboratory,HAL America,HAL Laboratory,April 1989,"February 21, 1991"
Adventures of Lolo 2,HAL Laboratory,HAL America,HAL Laboratory,March 1990,1991
Adventures of Lolo 3,HAL Laboratory,HAL America,HAL Laboratory,"November 21, 1991","May 27, 1992"
The Adventures of Rad Gravity,Interplay Productions,Activision,Activision,December 1990,"May 30, 1991"
The Adventures of Rocky and Bullwinkle and Friends,Radical Entertainment,THQ,Unreleased,December 1992,Unreleased
Adventures of Tom Sawyer,Winkysoft,SETA,Unreleased,August 1989,Unreleased
Air Fortress,HAL Laboratory,HAL America,HAL Laboratory,September 1989,1989
Airwolf,Beam Software,Acclaim Entertainment,Acclaim Entertainment,June 1989,August 1988
Al Unser Jr.'s Turbo Racing (NA)Turbo Racing (EU),Data East,Data East,Data East,March 1990,1991
Alex Demeo's Race America (NA)Corvette ZR-1 Challenge (EU),Imagineering,Absolute Entertainment,Milton Bradley Company,May 1992,1990
Alfred Chicken,Twilight,Mindscape,Mindscape,February 1994,1993
Alien 3,Probe Software,LJN,LJN,March 1993,1993
All-Pro Basketball,Aicom,Vic Tokai,Unreleased,December 1989,Unreleased
Alpha Mission,SNK,SNK,SNK,October 1987,1987
Amagon,Aicom,American Sammy,Unreleased,April 1989,Unreleased
American Gladiators,Incredible Technologies,GameTek,Unreleased,October 1991,Unreleased
Anticipation,Rare,Nintendo,Nintendo,November 1988,"October 25, 1989"
Arch Rivals,Rare,Acclaim Entertainment,Acclaim Entertainment,November 1990,1991
Archon,Bullet-Proof Software,Activision,Unreleased,December 1989,Unreleased
Arkanoid,Taito,Taito,Unreleased,August 1987,Unreleased
Arkista's Ring,NMK,American Sammy,Unreleased,June 1990,Unreleased
Asterix,Bit Managers,Unreleased,Infogrames,Unreleased,1993
Astyanax,Aicom,Jaleco,Jaleco,March 1990,1990
Athena,Micronics,SNK,Unreleased,August 1987,Unreleased
Athletic World,Human Entertainment,Bandai,Nintendo,July 1987,"June 15, 1988"
Attack of the Killer Tomatoes,Imagineering,THQ,THQ,January 1992,1991
Aussie Rules Footy,Beam Software,Unreleased,Laser Beam Entertainment,Unreleased,1991
Back to the Future,Beam Software,LJN,Unreleased,September 1989,Unreleased
Back to the Future Part II & III,Beam Software,LJN,Unreleased,September 1990,Unreleased
Bad Dudes (NA)Bad Dudes vs. DragonNinja (EU),Data East,Data East,Ocean Software,August 1989,1990
Bad News Baseball,Tecmo,Tecmo,Unreleased,June 1990,Unreleased
Bad Street Brawler,Beam Software,Mattel,Unreleased,September 1989,Unreleased
Balloon Fight,Nintendo Research & Development 1,Nintendo,Nintendo,"June 18, 1986","December 15, 1986"
Banana Prince,KID,Unreleased,Takara,Unreleased,February 1992
Bandai Golf: Challenge Pebble Beach,TOSE,Bandai,Unreleased,February 1989,Unreleased
Bandit Kings of Ancient China,Koei,Koei,Unreleased,December 1990,Unreleased
Barbie,Imagineering,Hi Tech Expressions,Hi Tech Expressions,December 1991,1992
The Bard's Tale,Atelier Double,FCI,Unreleased,November 1991,Unreleased
Barker Bill's Trick Shooting,Nintendo Research & Development 1,Nintendo,Nintendo,August 1990,"June 27, 1991"
Base Wars,Konami,Ultra Games,Unreleased,June 1991,Unreleased
Baseball,Nintendo Research & Development 1,Nintendo,Nintendo,"October 18, 1985","September 1, 1986"
Baseball Simulator 1.000,Culture Brain,Culture Brain,Unreleased,March 1990,Unreleased
Baseball Stars,SNK,SNK,Unreleased,July 1989,Unreleased
Baseball Stars 2,Pixel,Romstar,Unreleased,July 1992,Unreleased
Bases Loaded,TOSE,Jaleco,Unreleased,July 1988,Unreleased
Bases Loaded II: Second Season,TOSE,Jaleco,Unreleased,January 1990,Unreleased
Bases Loaded 3,TOSE,Jaleco,Unreleased,September 1991,Unreleased
Bases Loaded 4,TOSE,Jaleco,Unreleased,April 1993,Unreleased
Batman: The Video Game,Sunsoft,Sunsoft,Sunsoft,February 1990,"September 14, 1990"
Batman: Return of the Joker,Sunsoft,Sunsoft,Sunsoft,December 1991,"November 19, 1992"
Batman Returns,Konami,Konami,Konami,January 1993,1993
Battle Chess,Beam Software,Data East,Unreleased,July 1990,Unreleased
The Battle of Olympus,Infinity,Brøderbund,Nintendo,December 1989,"September 26, 1991"
Battle Tank,Imagineering,Absolute Entertainment,Unreleased,September 1990,Unreleased
Battleship,Mindscape,Mindscape,Mindscape,September 1993,1993
