3D Billiards: Pool & Snooker Remastered,Sports,Joindots,Joindots,Unreleased,"Feb 19, 2021","Feb 19, 2021",,
Abandoned,Survival horror,Blue Box Game Studios,Blue Box Game Studios,TBA,TBA,TBA,,
Aeterna Noctis,Metroidvania,Aeternum Game Studios,Aeternum Game Studios,Unreleased,"Dec 15, 2021","Dec 15, 2021",,
AEW Fight Forever,Sports,Yuke's,AEW Games,TBA,TBA,TBA,,
Age of Wonders 4,Turn-based strategy,Triumph Studios,Paradox Interactive,Unreleased,"May 2, 2023","May 2, 2023",,
Alan Wake II,Survival horror,Remedy Entertainment,Epic Games Publishing,"Oct 27, 2023","Oct 27, 2023","Oct 27, 2023",,
Alex Kidd in Miracle World DX,Platform,Jankenteam,Merge Games,"Jun 22, 2021","Jun 22, 2021","Jun 22, 2021",,
Alfred Hitchcock – Vertigo,Adventure,Pendulo Studios,Microids,Unreleased,"Oct 4, 2022","Sep 27, 2022",,
Aliens,Action-adventure,Sabec Limited,Sabec Limited,Unreleased,"Mar 31, 2021","Mar 31, 2021",,
Aliens: Fireteam Elite,Action-adventurethird-person shooter,Cold Iron Studios,Cold Iron Studios,"Aug 24, 2021","Aug 24, 2021","Aug 24, 2021",,
Aliens: Dark Descent,Turn-based strategy,Tindalos Interactive,Focus Entertainment,"Jun 20, 2023","Jun 20, 2023","Jun 20, 2023",,
Alice Gear Aegis CS: Concerto of Simulatrix,Action,Pyramid,"Mages
PQube (International version)","Sep 8, 2022","Mar 14, 2023","Mar 15, 2023",,
Among Us,Partysocial deduction,Innersloth,Innersloth,"Dec 14, 2021","Dec 14, 2021","Dec 14, 2021",,
Animal Well,Platform,Billy Basso,Billy Basso,TBA,TBA,TBA,,
Anno 1800,Real-time strategy,Blue Byte,Ubisoft,"Mar 16, 2023","Mar 16, 2023","Mar 16, 2023",,
Anno: Mutationem,Action role-playing,ThinkingStars,ThinkingStars,"Mar 16, 2022","Mar 16, 2022","Mar 16, 2022",,
Anodyne 2: Return to Dust,Action-adventure,Analgesic Productions,Ratalatika Games,Unreleased,"Feb 18, 2021","Feb 18, 2021",,
Apex Legends,Battle royalehero shooter,Respawn Entertainment,Electronic Arts,"Mar 29, 2022","Mar 29, 2022","Mar 29, 2022",CP,
Apsulov: End of Gods,Horror,Angry Demon Studios,Digerati Distribution,Unreleased,"Aug 27, 2021","Aug 27, 2021",,
Aragami 2,Action-adventurestealth,Lince Works,Lince Works,"Sep 17, 2021","Sep 17, 2021","Sep 17, 2021",,
Arcadegeddon,Shooter,IllFonic,IllFonic,"Jul 8, 2021","Jul 8, 2021","Jul 8, 2021",,
Arcade Paradise,Adventuresimulation,Nosebleed Interactive,Wired Productions,"Aug 11, 2022","Aug 11, 2022","Aug 11, 2022",,
Archetype Arcadia,Visual novel,Water Phoenix,Kemco,"Oct 21, 2021",Unreleased,Unreleased,,
Arctic Awakening,Adventure,GoldFire Studios,GoldFire Studios,2023,2023,2023,,
Arrog,Adventure,Hermanos MagiaLeap Game Studios,nakana.io,Unreleased,"Feb 5, 2021","Feb 5, 2021",,
Art of Rally,Racing,Funselektor Labs,Funselektor Labs,"Oct 6, 2021","Oct 6, 2021","Oct 6, 2021",,
The Artful Escape,Platform,Beethoven & Dinosaur,Annapurna Interactive,"Jan 25, 2022","Jan 25, 2022","Jan 25, 2022",,
The Ascent,Action role-playing,Neon Giant,Curve Digital,"Mar 24, 2022","Mar 24, 2022","Mar 24, 2022",,
Assassin's Creed Valhalla,Action role-playing,Ubisoft Montreal,Ubisoft,"Nov 12, 2020","Nov 12, 2020","Nov 19, 2020",CB,
Assassin's Creed Mirage,Action role-playing,Ubisoft Bordeaux,Ubisoft,"Oct 5, 2023","Oct 5, 2023","Oct 5, 2023",CB,
Assetto Corsa Competizione,Racing,Kunos Simulazioni,505 Games,"Feb 24, 2022","Feb 24, 2022","Feb 24, 2022",,
Asterigos: Curse of the Stars,Action role-playing,Acme Gamestudio,Acme Gamestudio,"Oct 11, 2022","Oct 11, 2022","Oct 11, 2022",,
