.hack//Link,Unreleased,Unreleased,"March 4, 2010",Unreleased,CyberConnect2,Namco Bandai Games
0-ji no Kane to Cinderella: Halloween Wedding,Unreleased,Unreleased,"February 23, 2012",Unreleased,Quinrose,Quinrose
1/2 summer+,Unreleased,Unreleased,"April 18, 2013",Unreleased,Alchemist,Alchemist
101-in-1 Megamix,"September 20, 2010","September 22, 2010",Unreleased,Unreleased,Nordcurrent,Nordcurrent
11eyes: CrossOver,Unreleased,Unreleased,"March 4, 2010",Unreleased,Lass,5pb.
12-ji no Kane to Cinderella: Halloween Wedding,Unreleased,Unreleased,"February 23, 2012",Unreleased,Quinrose,Quinrose
12Riven: The Psi-Climinal of Integral,Unreleased,Unreleased,"April 16, 2009",Unreleased,7thChord,7thChord
2006 FIFA World Cup,"May 22, 2006","May 19, 2006","June 1, 2006",Unreleased,EA Canada,EA Sports
2010 FIFA World Cup South Africa,"April 27, 2010","April 30, 2010",Unreleased,"April 29, 2010",EA Canada,EA Sports
24-ji no Kane to Cinderella: Halloween Wedding,Unreleased,Unreleased,"September 23, 2012",Unreleased,Quinrose,Quinrose
300: March to Glory,"February 27, 2007","March 30, 2007",Unreleased,"April 13, 2007",Collision Studios,Warner Bros. Interactive Entertainment
The 3rd Birthday,"March 29, 2011","April 1, 2011","December 22, 2010","April 14, 2011",HexaDrive,Square Enix
428: Fuusa Sareta Shibuya,Unreleased,Unreleased,"September 17, 2009",Unreleased,Chunsoft,Spike
50 Cent: Bulletproof G-Unit Edition,"August 29, 2006","October 27, 2006",Unreleased,"September 21, 2006",High Voltage Software,Vivendi Games
7 Wonders of the Ancient World,"April 23, 2007",2008,Unreleased,Unreleased,Hot Lava Games,MumboJumbo
7th Dragon 2020,Unreleased,Unreleased,"November 23, 2011",Unreleased,Imageepoch,Sega
7th Dragon 2020-II,Unreleased,Unreleased,"April 18, 2013",Unreleased,Sega,Sega
77: Beyond the Milky Way,Unreleased,Unreleased,"December 22, 2010",Unreleased,GN Software,GN Software
Abunai: Koi no Sousashitsu,Unreleased,Unreleased,"May 31, 2012",Unreleased,Quinrose,Quinrose
Accel World: Ginyoku no Kakusei,Unreleased,Unreleased,"September 13, 2012",Unreleased,Namco Bandai Games,Namco Bandai Games
