2TaxGold,Atelier Double,Human Entertainment,Unreleased,Unreleased,"January 17, 1996"
3D Baseball (NA)3D Baseball: The Majors (JP),Crystal Dynamics,Crystal Dynamics (NA)BMG Entertainment (JP),"November 30, 1996",Unreleased,"January 31, 1997"
3D Lemmings,Clockwork Games,Psygnosis (EU)Imagineer (JP),Unreleased,"July 5, 1996","August 23, 1996"
3×3 Eyes: Kyuusei Koushu S,Nihon Create,Nihon Create,Unreleased,Unreleased,"April 19, 1996"
Actua Soccer Club Edition,Gremlin Interactive,Gremlin Interactive,Unreleased,June 1997,Unreleased
Advanced V.G.,Giga/TGL,TGL,Unreleased,Unreleased,"March 14, 1997"
Advanced World War Sennen Teikoku no Koubou: Last of the Millennium,Sega,SegaSatakore(re-release)[7],Unreleased,Unreleased,"March 20, 1997"
AI Igo,ISCO,ASCII Something Good,Unreleased,Unreleased,"July 11, 1997"
AI Shougi,ASCII,SoftBank,Unreleased,Unreleased,"August 25, 1995"
AI Shougi 2,ASCII,ASCII Something Good,Unreleased,Unreleased,"June 11, 1998"
Air Management '96,Koei,Koei,Unreleased,Unreleased,"March 26, 1996"
Airs Adventure (jp),Game Studio,Game Studio,Unreleased,Unreleased,"December 20, 1996"
Akumajou Dracula X: Gekka no Yasoukyoku (Castlevania: Symphony of the Night),KCE Nagoya,Konami,Unreleased,Unreleased,"June 25, 1998"
Albert Odyssey: Legend of Eldean,Sunsoft,"Working DesignsUS, SunsoftJP","July 24, 1997",Unreleased,"August 9, 1996"
Album Club: Mune Kyun Saint Paulia Jogakuin,Societa Daikanyama,Societa Daikanyama,Unreleased,Unreleased,"July 11, 1997"
Alien Trilogy,Probe Entertainment,Acclaim Entertainment,"August 8, 1996","September 4, 1996","August 30, 1996"
All-Star 1997 Featuring Frank Thomas,Iguana Entertainment UK,Acclaim Entertainment,"May 29, 1997",Unreleased,Unreleased
Alone in the Dark: One-Eyed Jack's Revenge,Infogrames,Kokopeli Digital Studios,August 1996,May 1996,"February 23, 1996"
Amagi Shien,Clip House,Sunsoft,Unreleased,Unreleased,"February 14, 1997"
America Oudan Ultra Quiz,Pegasus Japan,Victor Entertainment,Unreleased,Unreleased,"October 27, 1997"
Amok,Lemon,Scavenger,"January 17, 1997","March 6, 1997","June 20, 1997"
Andretti Racing,High Score Entertainment,Electronic Arts,"October 31, 1996","February 7, 1997",Unreleased
AnEarth Fantasy Stories: The First Volume,"MediaWorks, Inc.","MediaWorks, Inc.",Unreleased,Unreleased,"March 28, 1997"
Angel Graffiti S: Anata e no Profile,Astrovision,Coconuts Japan,Unreleased,Unreleased,"July 25, 1997"
Angel Paradise Vol. 1: Sakaki Yuko: Koi no Yokan in Hollywood,Scarab,Sammy Entertainment,Unreleased,Unreleased,"April 19, 1996"
Angel Paradise Vol. 2: Yoshino Kimika: Isshoni I-ta-i in Hawaii,Scarab,Sammy Entertainment,Unreleased,Unreleased,"September 13, 1996"
Angelique Duet,Koei,Koei,Unreleased,Unreleased,"July 30, 1998"
Angelique Special,Koei,Koei,Unreleased,Unreleased,"March 29, 1996"
Angelique Special 2,Koei,Koei,Unreleased,Unreleased,"April 4, 1997"
Another Memories,Starlight Marry,Starlight Marry,Unreleased,Unreleased,"July 2, 1998"
"Aponashi Girls: Olympos(limited edition, three-part set)",Human Entertainment,Human Entertainment,Unreleased,Unreleased,"December 20, 1996"
Aqua-World: Umi Monogatari,Masudaya Corporation,Masudaya Corporation,Unreleased,Unreleased,"July 12, 1996"
Aquazone Desktop Life,OPeNBooK9003,9003,Unreleased,Unreleased,"July 12, 1996"
Aquazone Option Disc Series 1 Angel Fish (Expansion),OPeNBooK9003,OPeNBooK9003,Unreleased,Unreleased,"December 20, 1996"
Aquazone Option Disc Series 2 Black Molly (Expansion),OPeNBooK9003,OPeNBooK9003,Unreleased,Unreleased,"December 20, 1996"
Aquazone Option Disc Series 3 Blue Emperor (Expansion),OPeNBooK9003,OPeNBooK9003,Unreleased,Unreleased,"December 20, 1996"
Aquazone Option Disc Series 4 Clown Loach (Expansion),OPeNBooK9003,OPeNBooK9003,Unreleased,Unreleased,"December 20, 1996"
Aquazone Option Disc Series 5 False Rummy-Nose (Expansion),OPeNBooK9003,OPeNBooK9003,Unreleased,Unreleased,"December 20, 1996"
Arcade Gears: Pu·Li·Ru·La,GOO!,Xing Entertainment,Unreleased,Unreleased,"August 28, 1997"
Arcade Gears: Gun Frontier,Xing Entertainment,Xing Entertainment,Unreleased,Unreleased,"September 25, 1997"
Arcade Gears: Wonder 3,MBA International,Xing Entertainment,Unreleased,Unreleased,"March 5, 1998"
Arcade Gears: Image Fight and XMultiply,Xing Entertainment,Xing Entertainment,Unreleased,Unreleased,"August 20, 1998"
Arcana Strikes,Red Company,Takara,Unreleased,Unreleased,"December 11, 1997"
Area 51,Tantalus Interactive,Midway Games,"November 20, 1996","March 14, 1997","February 7, 1997"
Arthur to Astaroth no Nazomakaimura: Incredible Toons,Magical Formation,Capcom,Unreleased,Unreleased,"August 30, 1996"
Assault Rigs,Psygnosis,SoftBank,Unreleased,Unreleased,"September 11, 1997"
Assault Suit Leynos 2,NCS,Masaya,Unreleased,Unreleased,"February 21, 1997"
Astal,Sega AM7,Sega,"September 27, 1995",Unreleased,"April 28, 1995"
Astra Superstars,Santaclaus,Sunsoft,Unreleased,Unreleased,"August 6, 1998"
Asuka 120% Limited Burning Fest. Limited,Fill-in-Cafe,ASK Kodansha,Unreleased,Unreleased,"October 9, 1997"
Atlantis: The Lost Tales (EU)Atlantis: Secrets d'un monde oublié (FR),Cryo Interactive,Sega,Unreleased,June 1998,Unreleased
Ayakashi Ninden Kunoichiban Plus,Zero SystemSugeeya,Shoeisha,Unreleased,Unreleased,"April 9, 1998"
BackGuiner: Yomigaeru Yuusha-tachi: Hishou-hen Uragiri no Senjou,Ving,Ving,Unreleased,Unreleased,"October 1, 1998"
BackGuiner: Yomigaeru Yuusha-tachi: Hishou-hen Uragiri no Senjou,Ving,Ving,Unreleased,Unreleased,"July 30, 1998"
Baku Baku Animal,Sega,Sega,"August 31, 1996",May 1996,"November 10, 1995"
Bakuretsu Hunter,I'MAX,I'MAX,Unreleased,Unreleased,"April 26, 1996"
Bakuretsu Hunter R,Star Child,King Records,Unreleased,Unreleased,"August 8, 1997"
