20 em 1,Tec Toy,Tec Toy,,Unreleased,Unreleased,Unreleased,1995
Ace of Aces,Artech Digital Entertainment,Sega,,Unreleased,Unreleased,1991,
Action Fighter,Sega,Sega,,"August 17, 1986",November 1986,August 1987,
The Addams Family,Arc Developments,Flying Edge,,Unreleased,Unreleased,1993,
Aerial Assault,Sanritsu,Sega,,Unreleased,1990,December 1990,
After Burner,Sega,Sega,,"December 12, 1987",March 1988,March 1988,
Air Rescue,SIMS,Sega,,Unreleased,Unreleased,1992,
Disney's Aladdin,SIMS,Sega,,Unreleased,Unreleased,April 1994,
Alex Kidd BMX Trial,Sega,Sega,,"November 15, 1987",Unreleased,Unreleased,
Alex Kidd: High-Tech WorldAnmitsu HimeJP (1987),Sega,Sega,,"July 19, 1987","July 1, 1989",1989,
Alex Kidd in Miracle World,Sega,Sega,,"November 1, 1986",December 1986,September 1987,
Alex Kidd in Shinobi World,Sega,Sega,,Unreleased,"June 24, 1990",August 1990,
Alex Kidd: The Lost Stars,Whiteboard,Sega,,"March 10, 1988",July 1988,1988,
ALF,Nexa Corporation,Sega,,Unreleased,May 1989,Unreleased,
Alien³,Probe Entertainment,Arena Entertainment,,Unreleased,Unreleased,October 1992,
Alien Storm,Sanritsu,Sega,,Unreleased,Unreleased,October 1991,
Alien Syndrome,Sanritsu,Sega,,"October 18, 1987",March 1988,March 1988,
Altered Beast,Sega,Sega,,Unreleased,"May 31, 1989",1989,
Andre Agassi Tennis,Lance Investments,TecMagik,,Unreleased,Unreleased,1993,
Arcade Smash Hits,Virgin Interactive,Sega,,Unreleased,Unreleased,August 1992,
Argos no Juujiken,Aisystem Tokyo,Salio,,"March 25, 1988",Unreleased,Unreleased,
Disney's Ariel the Little Mermaid,Blue Sky Software,Tec Toy,,Unreleased,Unreleased,Unreleased,January 1996
Assault City,Sanritsu,Sega,,Unreleased,Unreleased,1990,
Asterix,Sega,Sega,,Unreleased,Unreleased,December 1991,
Asterix and the Great Rescue,Core Design,Sega,,Unreleased,Unreleased,September 1994,
Asterix and the Secret Mission As Aventuras da TV ColossoBR (1996),Sega,Sega,,Unreleased,Unreleased,1993,
Astro WarriorSapo Xule – S.O.S Lagoa PoluidaBR,Sega,Sega,,"December 14, 1986",December 1986,October 1987,
Ayrton Senna's Super Monaco GP II,SegaArc System Works,Sega,,Unreleased,Unreleased,June 1992,
Aztec AdventureNazca '88: The Golden Road to ParadiseJP,Sega,Sega,,"September 20, 1987",March 1988,September 1988,
Back to the Future II,Mirrorsoft,Image Works,,Unreleased,Unreleased,October 1991,
Back to the Future III,Probe Entertainment,Image Works,,Unreleased,Unreleased,March 1992,
Baku Baku Animal,SIMSMinato Giken,Tec Toy,,Unreleased,Unreleased,Unreleased,1996
Bank Panic,Sega,Sega,,Unreleased,Unreleased,1987,
Basketball Nightmare,Sega,Sega,,Unreleased,Unreleased,December 1989,
Batman Returns,Aspect,Sega,,Unreleased,Unreleased,March 1993,
Battle Out Run,SegaArc System Works,Sega,,Unreleased,Unreleased,1989,
Battletoads in Battlemaniacs,Syrox Developments,Tec Toy,,Unreleased,Unreleased,Unreleased,November 1996
Black BeltHokuto no KenJP,Sega,Sega,,"July 20, 1986",November 1986,August 1987,
Blade Eagle 3-D,Sega,Sega,,"March 26, 1988",September 1988,1988,
Bomber Raid,Sanritsu,Sega JP/EU Activision NA,,"February 4, 1989",January 1989,1989,
Bonanza Bros.,Sanritsu,Sega,,Unreleased,Unreleased,February 1992,
Disney's Bonkers: Wax Up!,Al Baker & Associates,Sega,,Unreleased,Unreleased,Unreleased,1998
Bram Stoker's Dracula,Probe Entertainment,Sony Imagesoft,,Unreleased,Unreleased,1993,
Bubble BobbleFinal Bubble BobbleJP (1988),Taito,Sega,,"July 2, 1988",Unreleased,December 1991,
Buggy Run,SIMS,Sega,,Unreleased,Unreleased,December 1993,
California GamesJogos de VerãoBR,Sega,Sega,,Unreleased,May 1989,1989,
California Games 2,Sega,Sega,,Unreleased,Unreleased,August 1993,
Captain Silver,Sega,Sega,,"July 2, 1988",September 1989,1988,
