3 Ninjas Kick Back,Malibu Interactive,Sony Imagesoft,Unreleased,"June 19, 1994",Unreleased,
3×3 Eyes Juuma Houkan,System Supply N-Tech,Banpresto,"December 22, 1995",Unreleased,Unreleased,
3×3 Eyes Seima Kourin-den,Nova Games,Yutaka,"July 28, 1992",Unreleased,Unreleased,
3rd Super Robot Wars,Banpresto,Banpresto,"July 23, 1993",Unreleased,Unreleased,
4 Nin Shougi,Planning Office Wada,Planning Office Wada,"July 14, 1995",Unreleased,Unreleased,
4th Super Robot Wars,Banpresto,Banpresto,"March 17, 1995",Unreleased,Unreleased,
The 7th Saga•ElnardJP,Produce,Gameplan21 (JP)Enix (NA),"April 23, 1993","August 3, 1993",Unreleased,
90 Minutes European Prime Goal•J.League Soccer Prime Goal 3JP,Namco,Namco (JP)Ocean Software (EU),"August 4, 1995",Unreleased,"December 20, 1995",
A.S.P. Air Strike Patrol•Desert FighterEU•Desert Fighter: Suna no Arashi SakusenJP,SETA,SETA (JP/NA)System 3 (EU),September 1994,"February 18, 1994","January 1, 1995",
AIII S.V.: Let's Take the A-Train 3 Super Version,Pack-In-Video,Artdink,"September 29, 1995",Unreleased,Unreleased,
Aaahh!!! Real Monsters,Realtime Associates,Viacom New Media,Unreleased,"August 15, 1995",1995,
ABC Monday Night Football•ABC Mande Naito FuttoboruJP,Data East / Kuusoukagaku,Data East,"November 26, 1993","December 7, 1993",Unreleased,
Accele Brid,Tomy,Tomy,"November 26, 1993",Unreleased,Unreleased,
ACME Animation Factory,Probe Software,Sunsoft,Unreleased,"November 5, 1994","March 1, 1995",
Acrobat Mission,Micronics,Techiku,"September 11, 1992",Unreleased,Unreleased,
Action Pachio,Coconuts Japan,Coconuts Japan,"April 9, 1993",Unreleased,Unreleased,
ActRaiser,Quintet,Enix,"December 16, 1990","November 1, 1991","March 18, 1993",
ActRaiser 2•ActRaiser 2: Chinmoku e no SeisenJP,Quintet,Enix,"October 29, 1993","November 16, 1993","November 1, 1994",
The Addams Family,Ocean Software,Ocean Software,"October 23, 1992","March 10, 1992",1992,
The Addams Family: Pugsley's Scavenger Hunt,Ocean Software,Ocean Software,Unreleased,"February 23, 1993",1992,
Addams Family Values,Ocean Software,Ocean Software,Unreleased,"February 14, 1995","March 28, 1996",
The Adventures of Batman & Robin,Konami,Konami,Unreleased,"December 1, 1994",1994,
The Adventures of Dr. Franken,MotiveTime,DTMC (NA)Elite Systems (EU),Unreleased,"December 1, 1993",1993,
The Adventures of Mighty Max,Ocean Software,Ocean Software,Unreleased,"February 7, 1995",1995,
The Adventures of Rocky and Bullwinkle and Friends,Imagineering,THQ,Unreleased,"June 1, 1993",Unreleased,
The Adventures of Tintin: Prisoners of the Sun,Infogrames,Infogrames,Unreleased,Unreleased,"February 9, 1997",
Adventures of Yogi Bear•Yogi Bear's Cartoon CapersEU,Empire Software,Cybersoft,"January 3, 1995","October 1, 1994","November 24, 1994",
Aero Fighters•Sonic WingsJP,Video System,Video System (JP)MC O'River (NA),"July 30, 1993","November 1, 1994",Unreleased,
Aero the Acro-Bat,Iguana Entertainment,Sunsoft,Unreleased,"October 12, 1993",November 1993,[9][10]
Aero the Acro-Bat 2,Iguana Entertainment,Sunsoft,Unreleased,November 1994,August 1994,[11]
Aerobiz•Air Management: Oozora ni KakeruJP,Koei,Koei,"April 5, 1992","February 2, 1993",Unreleased,
Aerobiz Supersonic•Air Management II: Koukuu Ou wo MezaseJP,Koei,Koei,"April 2, 1993","August 29, 1994",Unreleased,
Aim for the Ace!,Nippon Telenet,Nippon Telenet,"December 22, 1993",Unreleased,Unreleased,
Air Cavalry,Synergistic Software,Cybersoft,Unreleased,"June 20, 1995",1995,
Al Unser Jr.'s Road to the Top,Radical Entertainment,Mindscape,Unreleased,"November 1, 1994",1994,
Albert Odyssey,Sunsoft,Sunsoft,"March 5, 1993",Unreleased,Unreleased,
Albert Odyssey 2,Sunsoft,Sunsoft,"December 22, 1994",Unreleased,Unreleased,
Alcahest,HAL Laboratory,Square,"December 17, 1993",Unreleased,Unreleased,
Alice's Paint Adventure,Pop House/SAS Sakata,Epoch Co.,"September 15, 1995",Unreleased,Unreleased,
Alien 3,Probe Entertainment,LJN,"May 27, 1994","May 17, 1993",1992,
Alien vs Predator•Aliens vs PredatorJP,Jorudan,Activision,"January 8, 1993","September 4, 1993",1993,
The Amazing Spider-Man: Lethal Foes,Agenda,Epoch Co.,"March 17, 1995",Unreleased,Unreleased,
America Oudan Ultra Quiz,Genki,Tomy,"November 20, 1992",Unreleased,Unreleased,
American Battle Dome,Betop,Tsukuda Original,"December 8, 1995",Unreleased,Unreleased,
American Gladiators,Imagitec Design,GameTek,Unreleased,"April 13, 1993",Unreleased,
An American Tail: Fievel Goes West•Amerika Monogatari 2/Faiberu nishi e IkuJP,Shimada Kikaku,Hudson Soft,Unreleased,"August 30, 1994","November 1, 1994",
Ancient Magic: Bazoo! Mahou Sekai,Hot-B,Hot-B,"July 23, 1993",Unreleased,Unreleased,
Andre Agassi Tennis,Radiance Software,TecMagik,"March 31, 1994","May 31, 1994",Unreleased,
Angelique,Ruby Party,"Koei, NEC","September 23, 1994",Unreleased,Unreleased,
Angelique Voice Fantasy,Ruby Party,"Koei, NEC","March 29, 1996",Unreleased,Unreleased,
Animaniacs,Konami,Konami,"March 7, 1997","June 1, 1994","August 1, 1994",
Appleseed: Oracle of Prometheus,Visit,Visit,"August 26, 1994",Unreleased,Unreleased,
Arabian Nights: Spirit of the Desert King,Pandora Box,Takara,"June 14, 1996",Unreleased,Unreleased,
Araiguma Rascal,J-Force,Masaya,"March 25, 1994",Unreleased,Unreleased,
Arcade's Greatest Hits: The Atari Collection 1,Digital Eclipse Software,Midway Games,Unreleased,"August 30, 1997",Unreleased,
Arcana•Card MasterJP,HAL Laboratory,HAL Laboratory,"March 27, 1992","May 5, 1992",Unreleased,
Archer Maclean's Super Dropzone,Eurocom,Psygnosis,Unreleased,Cancelled,December 1995,
"Arcus Spirits•Arcus OdysseyNA, EU",Wolf Team,Sammy Studios,"October 22, 1993",Cancelled,Cancelled,
Ardy Lightfoot,ASCII Entertainment,ASCII Entertainment (JP)Titus Software (NA/EU),"November 26, 1993","February 1, 1994","October 31, 1994",
Aretha the Super Famicom,Japan Art Media,Yanoman,"November 23, 1993",Unreleased,Unreleased,
Aretha II: Ariel no Fushigi na Tabi,Japan Art Media,Yanoman,"December 2, 1994",Unreleased,Unreleased,
Arkanoid: Doh It Again,Taito,Taito (JP)Nintendo (NA/EU),"January 15, 1997","November 3, 1997",1997,
Art of Fighting•Ryuuko no KenJP,Monolith Corporation,Takara,"October 29, 1993","December 1, 1993",1993,
Asahi Shinbun Rensai: Katou Ichi-Ni-San Shougi: Shingiryuu,Varie,Varie,"September 22, 1995",Unreleased,Unreleased,
Asameshimae Nyanko,J-Force,Zamuse,"March 18, 1994",Unreleased,Unreleased,
Ashita no Joe,Wave Corp,K Amusement Leasing,"November 27, 1992",Unreleased,Unreleased,
Asterix,Infogrames,Infogrames,Unreleased,Cancelled,"May 30, 1993",
Asterix & Obelix,Infogrames,Infogrames,Unreleased,Unreleased,"May 1, 1996",
The Atlas,Artdink,Pack-In-Video,"March 24, 1995",Unreleased,Unreleased,
Axelay †,Konami,Konami,"September 11, 1992","September 14, 1992","September 30, 1993",
B.O.B.•Space Funky B.O.B.JP,Gray Matter,Electronic Arts,"December 22, 1993","June 1, 1993","July 22, 1993",
Bahamut Lagoon,Square,Square,"February 9, 1996",Unreleased,Unreleased,
Bakukyuu Renpatsu!! Super B-Daman,Amble,Hudson Soft,"December 19, 1997",Unreleased,Unreleased,
Bakumatsu Kourinden Oni,Pandora Box,Banpresto,"February 2, 1996",Unreleased,Unreleased,
Bakuto Dochers,Genki,Bullet-Proof Software,"October 28, 1994",Unreleased,Unreleased,
Ball Bullet Gun: Survival Game Simulation,Betop,I'MAX,"December 1, 1995",Unreleased,Unreleased,
Ballz 3D•3 Jigen Kakuto: BallzJP,PF Magic,Accolade,"April 28, 1995","April 1, 1994",Unreleased,
Barbarossa,SystemSoft Alpha,Sammy Corporation,"November 27, 1992",Unreleased,Unreleased,
Barbie: Super Model,Software Creations,Hi Tech Expressions,Unreleased,December 1993,Unreleased,
Barkley Shut Up and Jam!•Barkley's Power DunkJP,Accolade,Accolade,"September 30, 1994","June 7, 1994",December 1994,
Bass Masters Classic,Malibu Games,Malibu Games,"July 28, 1995","June 6, 1995",Unreleased,
Bass Masters Classic: Pro Edition,Black Pearl Software,Black Pearl Software,Unreleased,"July 23, 1996","November 1, 1996",
Bassin's Black Bass with Hank Parker•Super Black Bass 2JP,Starfish,Hot-B,"September 23, 1994","November 1, 1994",Unreleased,
Bastard!!: Ankoku no Hakai-shin,Kazushi Hagiwara / Shueisha,Cobra Team,"January 28, 1994",Unreleased,Unreleased,
Batman Forever,Probe Entertainment,Acclaim Entertainment,"October 27, 1995","October 26, 1995","September 7, 1995",
Batman Returns,Konami,Konami,"February 26, 1993","May 31, 1993","May 1, 1993",
Battle Blaze,Aicom,American Sammy,"May 1, 1992","October 19, 1993",Unreleased,
Battle Cars,Malibu Interactive,Namco,Unreleased,December 1993,Unreleased,
Battle Clash•Space BazookaJP,Intelligent Systems,Nintendo,"June 21, 1993","October 1, 1992",1992,
Battle Commander: Hachibushuu Shura no Heihou,Arc System Works,Banpresto,"December 29, 1991",Unreleased,Unreleased,
Battle Cross,A-Max,Imagineer,"December 9, 1994",Unreleased,Unreleased,
Battle Dodge Ball,Banpresto,Banpresto,"July 20, 1991",Cancelled,Unreleased,
Battle Dodge Ball II,Nova Games,Banpresto,"July 23, 1993",Unreleased,Unreleased,
Battle Grand Prix,KID,Hudson Soft,"March 27, 1992","April 20, 1993",Unreleased,
Battle Jockey,Nova Games,Virgin Interactive,"December 22, 1994",Unreleased,Unreleased,
Battle Master: Kyuukyoku no Senshitachi,System Vision,Toshiba,"November 19, 1993",Unreleased,Unreleased,
Battle Pinball,Banpresto,Banpresto,"February 25, 1995",Unreleased,Unreleased,
Battle Racers,Banpresto,Banpresto,"March 17, 1995",Unreleased,Unreleased,
Battle Robot Retsuden,Winkysoft,Banpresto,"September 1, 1995",Unreleased,Unreleased,
Battle Soccer: Field no Hasha,Pandora Box,Banpresto,"December 11, 1992",Unreleased,Unreleased,
Battle Soccer 2,Pandora Box,Banpresto,"November 25, 1994",Unreleased,Unreleased,
Battle Submarine,Office Koukan,Pack-In-Video,"December 22, 1995",Unreleased,Unreleased,
Battletoads & Double Dragon,Rare,Tradewest,Unreleased,"December 1, 1993","July 10, 1994",
Battletoads in Battlemaniacs,Rare,Tradewest,"January 7, 1994","June 29, 1993","October 1, 1993",
Battle Tycoon: Flash Hiders SFX,Right Stuff,Right Stuff,"May 19, 1995",Unreleased,Unreleased,
Battle Zeque Den,Arsys Software,Asmik Ace Entertainment,"July 15, 1994",Unreleased,Unreleased,
Bazooka Blitzkrieg•DestructiveJP,Tose,Bandai,"August 27, 1993","December 31, 1992",Unreleased,
Beavis and Butt-head,Realtime Associates,Viacom New Media,Unreleased,"November 1, 1994",1995,
Bébé's Kids,Radical Entertainment,Motown Software,Unreleased,"April 19, 1994",Unreleased,
Beethoven: The Ultimate Canine Caper•Beethoven's 2ndEU,Riedel Software Productions,Hi Tech Expressions,Unreleased,"December 17, 1993",1993,
Benkei Gaiden: Suna no Shou,Sunsoft,Sunsoft,"December 18, 1992",Unreleased,Unreleased,
Best of the Best: Championship Karate•Super Kick BoxingJP,Loriciel,Electro Brain,"March 5, 1993","November 24, 1993",1993,
Big Sky Trooper,LucasArts,JVC Musical Industries,Unreleased,"October 10, 1995",1995,
Best Shot Pro Golf,KID,ASCII,"June 14, 1996",Unreleased,Unreleased,
Big Ichigeki! Pachi-Slot Daikouryaku,Syscom,Ask Koudansha,"December 16, 1994",Unreleased,Unreleased,
Big Ichigeki! Pachi-Slot Daikouryaku 2,Syscom,Ask Koudansha,"July 21, 1995",Unreleased,Unreleased,
Bike Daisuki! Hashiriya Kon: Rider's Spirits,Genki,Masaya,"September 30, 1994",Unreleased,Unreleased,
Biker Mice from Mars,Konami,Konami,Unreleased,"December 1, 1994","January 1, 1995",
Bill Laimbeer's Combat Basketball,Hewson Consultants,Hudson Soft,Unreleased,"December 1, 1991",Unreleased,
Bill Walsh College Football,Visual Concepts,EA Sports,Unreleased,February 1994,Unreleased,
Bing Bing! Bingo,Copya Systems,KSS,"December 22, 1993",Unreleased,Unreleased,
BioMetal,Athena,Activision,"March 19, 1993",November 1993,1993,
Bishoujo Janshi Suchie-Pai,DCE,Jaleco,"July 30, 1993",Unreleased,Unreleased,
Bishoujo Senshi Sailor Moon: Another Story,Arc System Works/TNS,Angel,"September 22, 1995",Unreleased,Unreleased,
Bishoujo Senshi Sailor Moon: Sailor Stars Fuwa Fuwa Panic 2,Bandai,Bandai,"September 27, 1996",Unreleased,Unreleased,
Bishoujo Senshi Sailor Moon R,Arc System Works,Bandai,"December 29, 1993",Unreleased,Unreleased,
Bishoujo Senshi Sailormoon S: Jougai Rantou!? Shuyaku Soudatsusen,Arc System Works,Angel,"December 16, 1994",Unreleased,Unreleased,
Bishoujo Senshi Sailor Moon S: Kondo ha Puzzle de Oshiokiyo!,Tom Create,Bandai,"July 15, 1994",Unreleased,Unreleased,
Bishoujo Senshi Sailor Moon S: Kurukkurin,Tom Create,Bandai,"February 24, 1995",Unreleased,Unreleased,
Bishoujo Senshi Sailor Moon SuperS: Fuwa Fuwa Panic,Tom Create,Bandai,"December 8, 1995",Unreleased,Unreleased,
