Title,Genre(s),Developer(s),Publisher(s),Release date,Ref.
B.Ark,Shooter,TicToc Games,TicToc Games,"July 29, 2021",
B-Project Ryūsei*Fantasia,Rhythm,Mages,Mages,"September 30, 2021",
Baba Is You,Puzzle,Hempuli,Hempuli,"March 13, 2019",
Babol the Walking Box,Platformer,Gamecom Team,Gamecom Team,TBA,
Baby Puzzle: First Learning Shapes for Toddlers,"Edutainment, Puzzle",winterworks,winterworks,"January 11, 2021",
Back in 1995,Survival horror,Ratalaika Games,Ratalaika Games,"May 23, 2019",
Back to Bed,Puzzle,2Awesome Studio,2Awesome Studio,"April 11, 2019",
Backbone,Adventure,EggNut,Raw Fury,"June 8, 2020",
Backworlds,"Platformer, Puzzle",Logic Ember Limited,Skymap Games,"May 20, 2021",
Bacon Man: An Adventure,"Action, adventure",Skymap Games,Skymap Games,"September 29, 2020",
Bad Dream: Coma,Adventure,Desert Fox,Forever Entertainment,"January 24, 2019",
Bad Dream: Fever,Adventure,Forever Entertainment,Forever Entertainment,"March 14, 2019",
Bad North,"Real-time strategy, roguelike",Plausible Concept,Raw Fury,"August 20, 2018",
Bada Space Station,Action,Terahard Studios,Terahard Studios,TBA,
Badland: Game of the Year Edition,"Action, Adventure, Puzzle, Platformer",Frogmind,QubicGames,"August 6, 2021",
BAFL: Brakes Are for Losers,Racing,Oudidon,Playdius Entertainment,"April 19, 2018",
Bai Qu: Hundreds of Melodies,"Adventure, Simulation",Magenta Factory,Ratalaika Games,"July 9, 2021",
Baila Latino,"Music, party",My World,My World,"December 3, 2020",
Bake 'N Switch,Party,Streamline Games,Streamline Games,"September 10, 2020",
Bakery Master,"Adventure, Simulation, Puzzle, Strategy",Piotr Skalski,Piotr Skalski,"February 23, 2021",
Bakugan: Champions of Vestroia,Action role-playing,WayForward,Warner Bros. Interactive Entertainment,"November 3, 2020",
Bakumatsu Renka Shinsengumi,"Adventure, Simulation",VRIDGE,D3 Publisher,"June 17, 2021",
Bakutsuri Hunters,Sports,Bandai Namco Studios,Bandai Namco Entertainment,"December 7, 2019",
Balan Wonderworld,Platformer,Arzest,Square Enix,"March 26, 2021",
Balance Blox,"Puzzle, Arcade",EntwicklerX,EntwicklerX,"January 24, 2019",
Balancelot,"Adventure, Platformer, Simulation, Arcade","Jestercraft, AnvilBird Interactive",Ratalaika Games,"January 22, 2021",
Baldo,"Action-adventure, role-playing",Naps Team,Naps Team,"August 26, 2021",
Baldur's Gate: Dark Alliance,Role-playing,Black Isle Studios,Wizards of the Coast,"May 20, 2021",
Baldur's Gate: Enhanced Edition,Role-playing,Beamdog,Skybound Games,"October 15, 2019",
Baldur's Gate II: Enhanced Edition,Role-playing,Beamdog,Skybound Games,"October 15, 2019",
Ball Attraction,Adventure,Rising Win Tech,Rising Win Tech,"September 19, 2019",
Ball Physics Draw Puzzles,"Edutainment, Puzzle",Benjamin Kistler,Kistler Benjamin,"September 10, 2021",
Ball Physics Draw Puzzles 2,"Puzzle, Edutainment",Benjamin Kistler,Kistler Benjamin,"October 21, 2021",
Balloon Girl,"Adventure, arcade, platformer",Nerdvision Games,Nerdvision Games,"March 30, 2021",
"Balloon Pop for Toddlers & Kids: Learn Numbers, Letters, Colors & Animals",Edutainment,Winterworks,JP: Rainy FrogWW: Winterworks,"July 1, 2020",
"Balloon Pop: Learning Letters, Numbers, Colors, Game for Kids","Edutainment, Arcade",McPeppergames,McPeppergames,"October 7, 2021",
BallzOut,"Arcade, sports",4MB Interactive,4MB Interactive,"August 31, 2020",
Balthazar's Dream,Platformer,Dolores Entertainment,JP: CosenWW: Dolores Entertainment,"November 14, 2019",
Bamerang,"Action, Fighting, Party",Lululu Entertainment,Lululu Entertainment,"April 22, 2021",
Banana Treasures Island,"Action, adventure, arcade, platformer",Max Interactive Studio,Max Interactive Studio,"October 26, 2020",
BanG Dream! Girls Band Party!,Rhythm,Craft Egg,Bushiroad,"September 16, 2021",
Banner of the Maid,"Strategy, role-playing",Azure Flame Studio,CE-Asia,"August 12, 2020",
The Banner Saga,Role-playing,Stoic Studio,Versus Evil,"May 17, 2018",
The Banner Saga 2,Role-playing,Stoic Studio,Versus Evil,"June 7, 2018",
The Banner Saga 3,Role-playing,Stoic Studio,Versus Evil,"July 26, 2018",
Banners of Ruin,"Strategy, Role-playing",MonteBearo,Goblinz Studio,"July 29, 2021",
Baobabs Mausoleum Ep.1: Ovnifagos Don't Eat Flamingos,Point and click adventure,Celery Emblem,Zerouno Games,"May 24, 2018",
Baobabs Mausoleum Ep. 2: 1313 Barnabas Dead End Drive,Adventure,Celery Emblem,Zerouno Games,"June 27, 2019",
Baobabs Mausoleum Ep. 3: Un Pato en Muertoburgo,"Adventure, Action",Celery Emblem,Zerouno Games,"November 21, 2019",
Barbarous: Tavern of Emyr,Adventure,SQRT3,QubicGames,"December 25, 2019",
Barbearian,Action,Kimmo Factor,Kimmo Factor,"October 29, 2020",
Barbero,"Arcade, Action",Forever Entertainment,Forever Entertainment,"October 14, 2021",
Bard's Gold,Platformer,Pixel Lantern,Pixel Lantern,"March 5, 2019",
The Bard's Tale ARPG: Remastered and Resnarkled,"Action, Role-playing, Adventure",InXile Entertainment,InXile Entertainment,"June 17, 2020",
Bargain Hunter,"Simulation, Strategy",Silver Cow Studio,Silver Cow Studio,"March 15, 2019",
Baron: Fur Is Gonna Fly,"Action, fighting, party",Dogmelon Games,Dogmelon Games,"March 4, 2020",
Baroque,Role-playing,Sting Entertainment,Sting Entertainment,"November 12, 2020",
Barrage Fantasia,"Action, Arcade",Hanaji Games,Hanaji Games,"March 25, 2021",
Barricadez ReVisited,"Simulation, Strategy",FlyPenguin,FlyPenguin,"September 30, 2021",
Barrier X,"Arcade, Racing, Action",HypeTrain Digital,HypeTrain Digital,"September 3, 2019",
Barry Bradford's Putt Panic Party,"Sports, Party, Arcade",Tacs Games,Tacs Games,"September 26, 2019",
Barry the Bunny,"Arcade, Platformer, Action",lightUp,Ratalaika Games,"August 13, 2021",
