"The $1,000,000 Pyramid",Ludia,Ubisoft,2011-03-08NA,Unreleased,"March 8, 2011",Unreleased,Unreleased
007: Quantum of Solace,Beenox,JP: Square EnixWW: Activision,2008-10-31EU,"March 26, 2009","November 4, 2008","November 19, 2008","October 31, 2008"
10 Minute Solution,Anchor Bay Entertainment,Activision,2010-06-29NA,Unreleased,"June 29, 2010",Unreleased,"August 27, 2010"
101-in-1 Party Megamix,Nordcurrent,NA: AtlusEU: Nordcurrent,2009-10-27NA,Unreleased,"October 27, 2009",Unreleased,"October 30, 2009"
101-in-1 Sports Party Megamix,Nordcurrent,NA: AtlusEU: Nordcurrent,2010-11-19EU,Unreleased,"January 13, 2011",Unreleased,"November 19, 2010"
2010 FIFA World Cup South Africa,HB Studios,EA Sports,2010-04-26NA,"May 13, 2010","April 26, 2010","April 29, 2010","April 30, 2010"
250 Mannin no Kanken Wii de Tokoton Kanji Nou,IE Institute,Konami,2008-07-31JP,"July 31, 2008",Unreleased,Unreleased,Unreleased
428: Shibuya Scramble,Chunsoft,Sega,2008-12-04JP,"December 4, 2008",Unreleased,Unreleased,Unreleased
ABBA: You Can Dance,Ubisoft,Ubisoft,2011-11-15NA,Unreleased,"November 15, 2011","November 24, 2015","November 25, 2011"
AC/DC Live: Rock Band Track Pack,HarmonixPi Studios,MTV Games,2008-11-16NA,Unreleased,"November 16, 2008","March 5, 2009","March 6, 2009"
Academy of Champions: Soccer,Ubisoft Vancouver,Ubisoft,2009-09-03AUS,Unreleased,"November 3, 2009","September 3, 2009","September 4, 2009"
ACB Total 2010/2011,Korner Entertainment,Sherwood Media,2011-03-03EU,Unreleased,Unreleased,Unreleased,"March 3, 2011"
Action Girlz Racing,Data Design Interactive,Metro 3D,2007-12-07EU,Unreleased,"January 29, 2008","January 8, 2008","October 26, 2007"
Active Life: Explorer,Namco Bandai,Namco Bandai,2010-10-20NA,"October 21, 2010","October 19, 2010",Unreleased,"October 22, 2010"
Active Life: Extreme Challenge,Namco Bandai,Namco Bandai,2009-08-11NA,"December 10, 2009","August 11, 2009","October 15, 2009","September 25, 2009"
Active Life: Magical Carnival,Ganbarion,Namco Bandai,2011-10-25NA,Unreleased,"October 25, 2011",Unreleased,"November 18, 2011"
Active Life: Outdoor Challenge,h.a.n.d.,Bandai Namco Games,2008-05-29JP,"May 29, 2008","September 9, 2008","May 28, 2009","August 9, 2008"
Adibou and Magical Seasons,Eko Software,Mindscape,2009-11-01EU,Unreleased,Unreleased,Unreleased,"November 1, 2009"
The Adventures of Tintin: The Game,Ubisoft,Ubisoft,2011-10-21EU,Unreleased,"December 6, 2011","December 1, 2011","October 21, 2011"
AFL,Wicked Witch Software,Tru Blu Entertainment,2011-05-19AUS,Unreleased,Unreleased,"May 19, 2011",Unreleased
