007: Agent Under Fire,First-person shooter,Savage Entertainment,EA Games,"June 14, 2002",Unreleased,"March 26, 2002"
007: Everything or Nothing,Third-person Action-Adventure/Stealth,Visceral Games,EA Games,"February 26, 2004",Unreleased,"February 17, 2004"
007: From Russia with Love,Third-person Action-Adventure/Stealth,Visceral Games,EA Games,"November 17, 2005",Unreleased,"November 1, 2005"
007: Nightfire,First-person shooter,Eurocom,EA Games,"November 29, 2003",Unreleased,"November 18, 2002"
187 Ride or Die,Vehicular combat,Ubisoft,Ubisoft,"August 26, 2005",Unreleased,"August 23, 2005"
2002 FIFA World Cup,Sports,EA Sports,EA Sports,"April 26, 2002","May 2, 2002","April 22, 2002"
2006 FIFA World Cup,Sports,EA Sports,EA Sports,"April 28, 2006",Unreleased,"April 24, 2006"
25 To Life,Third-person shooter,"Avalanche Software, Ritual Entertainment",Eidos,Unreleased,Unreleased,"January 17, 2006"
4x4 EVO 2,Racing,Terminal Reality,Gathering of Developers,"March 14, 2002",Unreleased,"November 15, 2001"
50 Cent: Bulletproof,Third-person shooter,Genuine Games,Vivendi Universal Games,"November 25, 2005",Unreleased,"November 17, 2005"
Advent Rising,Third-person shooter,GlyphX Games,Majesco Entertainment,"June 30, 2005",Unreleased,"May 31, 2005"
Æon Flux,Action-Adventure,Terminal Reality,Majesco Entertainment,"March 31, 2006",Unreleased,"November 15, 2005"
AFL Live 2003,Sports,IR Gurus,Acclaim Sports,"November 1, 2002",Unreleased,Unreleased
AFL Live 2004,Sports,IR Gurus,Acclaim Entertainment,"August 1, 2003",Unreleased,Unreleased
AFL Live Premiership Edition,Sports,IR Gurus,Acclaim Entertainment,"April 29, 2004",Unreleased,Unreleased
AFL Premiership 2005,Sports,IR Gurus,THQ,"September 22, 2005",Unreleased,Unreleased
Aggressive Inline,Sports,Z-Axis,AKA Acclaim,"August 23, 2002",Unreleased,"July 29, 2002"
Airforce Delta Storm  Deadly Skies (PAL)  Airforce Delta II (JP),Flight Simulator,Konami,Konami,"April 12, 2002","February 22, 2002","November 15, 2001"
Alias,Action-Adventure,Acclaim Studios Cheltenham,Acclaim Entertainment,"April 8, 2004",Unreleased,"April 5, 2004"
Alien Hominid,Run and gun,The Behemoth,O~3 Entertainment,"May 27, 2005",Unreleased,Unreleased
Aliens Versus Predator: Extinction,Real-time strategy,Zono,EA Games,"August 8, 2003",Unreleased,"July 30, 2003"
Alfa Romeo Racing Italiano  SCAR : Squadra Corse Alfa Romeo (PAL),Racing,Milestone srl,Black Bean Games,"June 24, 2005",Unreleased,Unreleased
All-Star Baseball 2003,Sports,Acclaim Studios Austin,Acclaim Sports,"May 31, 2002","August 8, 2002","February 25, 2002"
All-Star Baseball 2004,Sports,Acclaim Studios Austin,Acclaim Sports,Unreleased,Unreleased,"February 23, 2003"
All-Star Baseball 2005,Sports,Acclaim Studios Austin,Acclaim Entertainment,Unreleased,Unreleased,"March 23, 2004"
Alter Echo,Action-Adventure,Outrage Entertainment,THQ,"October 3, 2003",Unreleased,"August 19, 2003"
America's Army: Rise of a Soldier,Tactical shooter,Secret Level,Ubisoft,"February 24, 2006",Unreleased,"November 17, 2005"
American Chopper,Sports,Creat Studios,Activision,"March 17, 2006",Unreleased,"December 3, 2004"
American Chopper 2: Full Throttle,Sports,Creat Studios,Activision,"March 17, 2006",Unreleased,"November 17, 2005"
AMF Bowling 2004,Sports,Mud Duck Productions,Bethesda Softworks,Unreleased,Unreleased,"November 14, 2003"
AMF Xtreme Bowling 2006,Sports,Mud Duck Productions,Bethesda Softworks,Unreleased,Unreleased,"June 21, 2006"
Amped: Freestyle Snowboarding,Sports,Indie Built,Xbox Game Studios,"March 14, 2002","February 22, 2002","November 19, 2001"
Amped 2  Tenku 2 (JP),Sports,Indie Built,Xbox Game Studios,"November 14, 2003","February 26, 2004","October 28, 2003"
AND 1 Streetball,Sports,Black Ops Entertainment,Ubisoft,"June 29, 2006",Unreleased,"June 6, 2006"
Angelic Concert (JP),Visual novel,Success,,Unreleased,"March 13, 2003",Unreleased
Animaniacs: The Great Edgar Hunt,Platformer,Warthog Games,Ignition Entertainment,"October 14, 2005",Unreleased,Unreleased
Antz Extreme Racing,Racing,LSP,Empire Interactive,"July 26, 2002",Unreleased,"September 2, 2002"
Aoi Namida (JP),Visual Novel,Artlim Media,Panther Software,Unreleased,"May 27, 2004",Unreleased
APEX  Racing Evoluzione (PAL),Racing,Milestone,Infogrames,"February 28, 2003",Unreleased,"February 18, 2003"
Aquaman: Battle for Atlantis,Action-Adventure,TDK,TDK,Unreleased,Unreleased,"July 30, 2003"
Arctic Thunder,Racing,Midway Games,Midway Games,"March 22, 2002",Unreleased,"November 15, 2001"
Area 51,First-person shooter/Survival Horror,Midway Studios Austin,Midway,"May 27, 2005",Unreleased,"April 25, 2005"
Arena Football,Sports,EA Tiburon,EA Games,Unreleased,Unreleased,"February 7, 2006"
Armed and Dangerous,Third-person shooter/Third-person Action-Adventure,Planet Moon Studios,LucasArts,"February 27, 2004",Unreleased,"December 2, 2003"
Army Men: Major Malfunction,Third-person shooter,Global Star Software,3DO,"August 4, 2006",Unreleased,"April 15, 2006"
Army Men: Sarge's War,Third-person shooter,Global Star Software,3DO,"July 23, 2004",Unreleased,"August 2, 2004"
Arx Fatalis,First-person Role-playing,Arkane Studios,JoWood Productions,"February 13, 2004",Unreleased,"December 23, 2003"
Atari Anthology,Arcade Compilations,Digital Eclipse,Atari,"November 11, 2004","August 4, 2005","November 16, 2004"
ATV Quad Power Racing 2,Racing,Climax Studios,AKA Acclaim,"February 28, 2003",Unreleased,"January 27, 2003"
Auto Modellista,Racing,Capcom Production Studio 1,Capcom,"November 26, 2003","January 20, 2004","January 21, 2004"
Avatar: The Last Airbender,Action-Adventure,TOSE,THQ,Unreleased,Unreleased,"October 10, 2006"
Azurik: Rise of Perathia,Action-Adventure,Adrenium Games,Xbox Game Studios,"May 17, 2002",Unreleased,"November 25, 2001"
Backyard Wrestling: Don't Try This at Home,Sports,Paradox Development,Eidos Interactive,"November 14, 2003",Unreleased,"October 9, 2003"
Backyard Wrestling 2: There Goes the Neighborhood,Sports,Paradox Development,Eidos Interactive,"November 19, 2004","April 7, 2005","November 16, 2004"
Bad Boys: Miami Takedown  Bad Boys II  (PAL),Third-person shooter,Blitz Games,Empire Interactive,"February 25, 2004",Unreleased,"September 14, 2004"
Baldur's Gate: Dark Alliance,Action RPG/Hack and slash,Snowblind Studios,Interplay Entertainment,"March 23, 2003",Unreleased,"October 22, 2002"
Baldur's Gate: Dark Alliance II,Action RPG/Hack and slash,Black Isle Studios,Interplay Entertainment,"February 6, 2004",Unreleased,"January 20, 2004"
Barbarian,Fighting,Saffire,Titus Interactive,"December 23, 2003",Unreleased,Unreleased
Barbie Horse Adventures: Wild Horse Rescue,Adventure/Racing,Blitz Games,Vivendi Universal Games,"February 13, 2004",Unreleased,"November 4, 2003"
The Bard's Tale,Action RPG,InXile Entertainment,Vivendi Universal Games,"March 24, 2005",Unreleased,"October 26, 2004"
The Baseball 2002: Battle Ball Park Sengen,Sports,Konami,Konami,Unreleased,"July 11, 2002",Unreleased
Bass Pro Shops: Trophy Bass 2007,Fishing simulator,Big John Games,Vivendi Universal Games,Unreleased,Unreleased,"November 20, 2006"
Bass Pro Shops Trophy Hunter 2007,Hunting,Jarhead Games,Vivendi Universal Games,Unreleased,Unreleased,"November 20, 2006"
Batman Begins,Action-Adventure/Stealth,Eurocom,EA Games,"June 17, 2005",Unreleased,"June 14, 2005"
Batman: Dark Tomorrow,Action-Adventure,HotGen,Kemco,"April 11, 2003","March 20, 2003","March 18, 2003"
Batman: Rise of Sin Tzu,Action-Adventure/Beat 'em up,Ubisoft Montreal,Ubisoft,"November 14, 2003",Unreleased,"October 16, 2003"
Batman Vengeance,Action-Adventure,Ubisoft Montreal,Ubisoft,"March 14, 2002",Unreleased,"December 18, 2001"
Battle Engine Aquila,Mecha simulator,Lost Toys,Infogrames,"February 7, 2003",Unreleased,"January 20, 2003"
Battlefield 2: Modern Combat,First-person shooter,Digital Illusions CE,Electronic Arts,"November 18, 2005",Unreleased,"October 24, 2005"
Battlestar Galactica,Space flight Simulator,Warthog Games,Vivendi Universal Games,"December 12, 2003",Unreleased,"November 18, 2003"
Beat Down: Fists of Vengeance,Action RPG/Beat 'em up,Cavia,Capcom,"November 2, 2005",Unreleased,"August 23, 2005"
Beyond Good & Evil,Third-person Action-Adventure,Ubisoft Milan,Ubisoft,"February 27, 2004",Unreleased,"December 2, 2003"
The Bible Game,Party game,Crave Entertainment,Crave Entertainment,Unreleased,Unreleased,"October 23, 2005"
Bicycle Casino,Gambling,Leaping Lizard,Activision Value,"July 7, 2005",Unreleased,"October 26, 2004"
Big Bumpin',Party game,Blitz Games,King Games,Unreleased,Unreleased,"November 19, 2006"
Big Mutha Truckers,Racing,Eutechnyx,THQ,"December 29, 2002",Unreleased,"June 23, 2003"
Big Mutha Truckers 2,Racing,Empire Interactive,THQ,"June 24, 2005",Unreleased,"August 28, 2005"
Bionicle,Action-Adventure,Argonaut Games,Electronic ArtsLego Interactive,"October 17, 2003",Unreleased,"October 20, 2003"
Bistro Cupid (JP),"Cooking Sim, RPG, Dating Sim",Success,Success,Unreleased,"June 13, 2002",Unreleased
Bistro Cupid 2,"Cooking Sim, RPG, Dating Sim",Success,Success,Unreleased,"August 28, 2003",Unreleased
Black,First-person shooter,Criterion Games,EA Games,"February 24, 2006",Unreleased,"February 28, 2006"
Black Stone: Magic & Steel  Ex-Chaser (JP),RPG,XPEC Entertainment,Xicat Interactive,"March 21, 2003","May 22, 2003","March 19, 2003"
Blade II (video game),Action/Beat 'em up,Mucky Foot Productions,Activision,"September 27, 2002",Unreleased,"September 3, 2002"
Blazing Angels: Squadrons of WWII,Flight Simulator,Ubisoft Bucharest,Ubisoft,"March 31, 2006",Unreleased,"March 23, 2006"
Blinx: The Time Sweeper,Action/Platformer,Artoon,Xbox Game Studios,"November 8, 2002","December 12, 2002","October 7, 2002"
Blinx 2: Masters of Time and Space  Blinx 2: Battle of Time and Space (JP),Action/Platformer,Artoon,Xbox Game Studios,"December 3, 2004","November 18, 2004","November 18, 2004"
Blitz: The League,Sports,Midway Games,Midway Games,Unreleased,Unreleased,"October 17, 2005"
Blood Omen 2,Third-person Action-Adventure,Crystal Dynamics,Eidos Interactive,"March 28, 2002",Unreleased,"March 19, 2002"
Blood Wake,Vehicular combat,Stormfront Studios,Xbox Game Studios,"March 14, 2002",Unreleased,"December 25, 2001"
BloodRayne,Action/Hack and slash,Terminal Reality,Majesco Entertainment,"May 2, 2003",Unreleased,"October 15, 2002"
BloodRayne 2,Action/Hack and slash,Terminal Reality,Majesco Entertainment,"February 17, 2006",Unreleased,"October 12, 2004"
Bloody Roar Extreme,Fighting,Hudson Soft,Konami,"July 17, 2003","November 28, 2003","May 27, 2003"
BlowOut,Run and gun,Terminal Reality,Majesco Entertainment,"November 26, 2004",Unreleased,"January 30, 2004"
BMX XXX,Sports,Z-Axis,AKA Acclaim,"December 6, 2002",Unreleased,"November 10, 2002"
Braveknight,"Dating Sim, Visual novel",Panther Software,Panther Software,Unreleased,"September 26, 2002",Unreleased
Break Nine: World Billiards Tournament,Billiard sports,ASK,ASK,Unreleased,"July 25, 2002",Unreleased
Breakdown,First-person shooter/Action-Adventure,Namco,Namco,"June 18, 2004","January 29, 2004","March 16, 2004"
Breeders' Cup World Thoroughbred Championships,Racing (Horses),ZeniMax Media,Bethesda,Unreleased,Unreleased,"September 29, 2005"
Brian Lara International Cricket 2005,Sports,Codemasters,Codemasters,"July 21, 2005",Unreleased,Unreleased
Broken Sword: The Sleeping Dragon,Point and Click,Revolution Software,The Adventure Company,"November 14, 2003",Unreleased,"December 4, 2003"
Brothers in Arms: Earned in Blood,First-person shooter,Gearbox Software,Ubisoft,"October 6, 2005",Unreleased,"October 4, 2005"
Brothers in Arms: Road to Hill 30,First-person shooter,Gearbox Software,Ubisoft,"March 18, 2005",Unreleased,"March 1, 2005"
Bruce Lee: Quest of the Dragon,Beat 'em up,Ronin Entertainment,Vivendi Universal Games,"September 6, 2002",Unreleased,"July 2, 2002"
Brute Force,Third-person shooter/Tactical shooter,Digital Anvil,Xbox Game Studios,"June 20, 2003","October 9, 2003","May 27, 2003"
Buffy the Vampire Slayer,Third-person Action-Adventure/Beat 'em up,The Collective,Electronic Arts,"September 13, 2002",Unreleased,"August 18, 2002"
Buffy the Vampire Slayer: Chaos Bleeds,Third-person Action-Adventure/Beat 'em up,Eurocom,Vivendi Universal Games,"October 24, 2003",Unreleased,"August 27, 2003"
Burnout,Racing,Criterion Games,Acclaim Entertainment,"May 5, 2002",Unreleased,"April 30, 2002"
Burnout 2: Point of Impact,Racing,Criterion Games,Acclaim Entertainment,"May 9, 2003",Unreleased,"May 1, 2003"
Burnout 3: Takedown,Racing,Criterion Games,EA Games,"September 10, 2004","October 14, 2004","September 7, 2004"
Burnout Revenge,Racing,Criterion Games,Electronic Arts,"September 23, 2005","October 20, 2005","September 13, 2005"
